Year,TN (mg/L)
1989,0.63
1990,0.6
1991,0.535
1992,0.645
1993,0.686666667
1994,0.41
1995,0.535
1996,0.55
1997,0.38
1998,0.42
1999,0.535
2000,0.635
2001,0.585
2002,0.55
2003,0.765
2004,0.625
2005,0.58
2006,0.675
2007,0.71
2008,0.71
2009,0.825
2010,0.825
2011,0.74
2012,0.82
2013,0.68
2014,0.715
2015,0.8
2016,0.82
2017,0.755
2018,0.785
2019,0.74
