Year,Total N (mg/L)
1989,0.533333333
1990,0.526666667
1991,0.55
1992,0.526666667
1993,0.633333333
1994,0.488333333
1996,0.5
1997,0.4
1998,0.4
1999,0.6
2000,0.57
2001,0.55
2002,0.515
2003,0.865
2004,0.685
2005,0.73
2006,0.76
2007,0.69
2008,0.585
2009,0.725
2010,0.73
2011,0.655
2012,0.68
2013,0.64
2014,0.9
2015,0.955
2016,0.855
2017,0.725
2018,0.81
2019,0.835
