Year,total_count
2022,487
2021,485
2020,489
2019,479
2018,470
2017,472
2016,465
2015,450
2014,442
2013,462
2012,496
2011,560
2010,575
2009,605
2008,594
2007,597
2006,593
2005,610
2004,621
2003,633
2002,626
2001,616
2000,579
