Year,Number
2007,469523
2008,411882
2009,435088
2010,453519
2011,439248
2012,460298
2013,480000
2014,486287
2015,480845
2016,467706
2017,469571
2018,428930
2019,458599
2020,498104
2021,513675
2022,485007
