Year,sum_catch
1982,32099223
1983,41668877
1984,39875445
1985,56451995
1986,45851173
1987,40571655
1988,51050698
1989,46521447
1990,48341294
1991,47409779
1992,46023299
1993,38828050
1994,53782230
1995,41687919
1996,38774611
1997,42074669
1998,49113391
1999,49665202
2000,60064629
2001,70604404
2002,73121425
2003,71895313
2004,70763100
2005,71975451
2006,86999231
2007,81030467
2008,75581746
2009,86958497
2010,94550490
2011,90451846
2012,84324401
2013,108485332
2014,114616807
2015,108388374
2016,108923931
2017,98336223
2018,78634820
2019,81772371
2020,72477810
2021,82038672
2022,63988883
