Year,Number
2007,205215
2008,173686
2009,187957
2010,197559
2011,194833
2012,203944
2013,211720
2014,215649
2015,214368
2016,210975
2017,210338
2018,190494
2019,204598
2020,225012
2021,223619
2022,212562
