"year","ALBEMARLEdissolvedoxygen"
1971,6.58277777777778
1972,6.76277777777778
1973,5.80833333333333
1978,10.25
1980,9.7
1981,8.85
1982,10.8333333333333
1983,9.90833333333333
1984,10.9444444444444
1985,8.90555555555556
1986,8.52222222222222
1987,9.52222222222222
1988,9.43333333333333
1989,10.6333333333333
1990,9.81274509803922
1992,9.43382352941176
1993,9.21875
1994,9.25426984930274
1995,9.86197916666667
1996,9.30707236842105
1997,10.2328439153439
1998,9.36909863945578
1999,9.81272486772487
2000,9.56833333333333
2001,8.78657407407407
2002,9.72308201058201
2003,10.5475793650794
2004,10.1089682539683
2005,9.35492063492064
2006,9.85573015873016
2007,9.09097883597884
2008,10.2551587301587
2009,10.3212698412698
2010,9.64964285714286
2011,10.4681150793651
2012,10.2943968253968
2013,9.64474867724868
2014,10.2530026455026
2015,9.82946428571429
2016,8.42077380952381
2017,9.2369799047619
2019,9.76666666666667
