"year","PAMLICOsalinity"
1974,NA
1975,NA
1976,NA
1977,NA
1978,NA
1979,NA
1980,NA
1981,7
1982,6.85714285714286
1983,7.4125
1984,4.54166666666667
1985,6.47647058823529
1986,9.28181818181818
1987,7.31666666666667
1988,13.3089814814815
1989,6.26730226295444
1990,11.4468137879038
1991,11.3161597727669
1992,8.61548681438387
1993,8.82177227295877
1996,2.12291666666667
1997,10.3494973544974
1998,7.34109259259259
1999,2.77483333333333
2000,10.7074503968254
2001,15.919827024827
2002,12.7326178669815
2003,4.02039031339031
2004,7.63678986291486
2005,7.04608460471567
2006,7.55605929919137
2007,15.0482568027211
2008,15.8463047406463
2009,11.8276617772109
2010,11.3722458333333
2011,10.3556241496599
2012,13.089753968254
2013,13.3677886178862
2014,8.86207199546485
2015,8.6092417027417
2016,4.47576258503401
2017,11.9349928049603
2018,3.67410854761905
2019,12.5266316964286
