"year","NEUSEtemperature"
1970,18
1971,16.5696759259259
1972,14.9222222222222
1973,15.3939236111111
1975,19.4
1976,13.1111111111111
1977,13.8571428571429
1978,18.2857142857143
1979,14.5902777777778
1980,15.9375
1981,12.9166666666667
1982,16.1960784313725
1983,12.5126102292769
1984,15.1875
1985,17.1643209876543
1986,18.2708333333333
1987,14.6585802469136
1988,14.2861111111111
1989,13.8078947368421
1990,15.408064516129
1991,15.0917483660131
1992,15.3340607210626
1993,16.8973707664884
1994,16.4301346801347
1995,15.2841503267974
1996,14.9083134920635
1997,18.7
1998,16.2339516129032
1999,15.2369068504595
2000,14.3683817594835
2001,16.8607757296467
2002,15.4871101774043
2003,14.9389900793651
2004,16.5015705931495
2005,17.1217405582923
2006,16.2808272800646
2007,17.6709104938272
2008,14.5987428571429
2009,17.4978181818182
2010,13.1955357142857
2011,15.4875308641975
2012,14.7038888888889
2013,13.6238888888889
2014,13.5596913580247
2015,17.365
2016,11.9640833333333
2017,14.8110818138278
2018,12.8664174920635
2019,13.0578095238095
