"year","PAMSOUNDdissolvedoxygen"
1974,9.1
1975,NA
1976,10.1391304347826
1977,9.92222222222222
1978,8.54615384615385
1979,11.075
1980,9.56923076923077
1981,8.98333333333333
1982,9.79166666666667
1983,9.78181818181818
1984,9.76666666666667
1985,8.95
1986,8.25
1990,8.86
1992,8.19333333333333
1993,8.03
