"","Year","Number"
"1","2007",469523
"2","2008",411882
"3","2009",435088
"4","2010",453519
"5","2011",439248
"6","2012",460298
"7","2013",480000
"8","2014",486287
"9","2015",480845
"10","2016",467706
"11","2017",469571
"12","2018",428930
"13","2019",458599
"14","2020",498104
"15","2021",513675
"16","2022",485007
