Year,Annual Average Flow m3 per s
1974,60.32093404
1975,91.68009583
1976,41.72920576
1977,47.80620681
1978,78.1476689
1979,99.06792226
1980,45.02858257
1981,17.47374404
1982,64.05790437
1983,79.29725528
1984,93.48257513
1985,54.59356093
1986,28.77014865
1987,80.2361333
1988,30.88601991
1989,109.6713787
1990,63.0139825
1991,35.40358326
1992,62.93775
1993,63.84274174
1994,45.16817053
1995,61.22514491
1996,86.31152721
1997,48.74896384
1998,79.77840893
1999,121.1039369
2000,60.55898017
2001,43.58730702
2002,55.82983565
2003,109.5715328
2004,59.06878679
2005,46.68385115
2006,76.81406181
2007,32.65180644
2008,31.97639645
2009,45.81376368
2010,48.41768001
2011,28.17299679
2012,28.92261799
2013,45.6615742
2014,72.90525088
2015,63.20126158
2016,83.70583576
2017,39.51053453
2018,59.78927555
2019,56.48085935
