Year,Total P (mg/L)
1996,0.11
1997,0.08
1998,0.08
1999,0.075
2000,0.075
2001,0.06
2002,0.055
2003,0.08
2004,0.045
2005,0.05
2006,0.06
2007,0.055
2008,0.06
2009,0.065
2010,0.07
2011,0.05
2012,0.08
2013,0.07
2014,0.06
