Year,Species,Pounds
2007,Striped Bass,576156.5
2007,Striped Mullet,1668804.47
2008,Blue Crab,32916691.33
2008,Hard Clams,382049.47
2008,Kingfishes,921120.08
2008,Oyster,466176.38
2008,Red Drum,229808.63
2008,River Herring,1292
2008,"Shrimp, Brown",5502792.53
2008,"Shrimp, Pink",830488.32
2008,"Shrimp, White",3076443.81
2008,Southern Flounder,2602273.95
2008,Spotted Seatrout,304430.14
2008,Striped Bass,373444.68
2008,Striped Mullet,1675858.66
2009,Bay Scallop,29002.76
2009,Blue Crab,29707231.6
2009,Hard Clams,350669.03
2009,Kingfishes,721925.88
2009,Oyster,573629.67
2009,Red Drum,200295.74
2009,River Herring,643
2009,"Shrimp, Brown",3804694.07
2009,"Shrimp, Pink",250213.25
2009,"Shrimp, White",1347561.2
2009,Southern Flounder,2396240.38
2009,Spotted Seatrout,320246.78
2009,Striped Bass,310603.55
2009,Striped Mullet,1685614.91
2010,Bay Scallop,***
2010,Blue Crab,30683010.9
2010,Hard Clams,354960.74
2010,Kingfishes,886840.98
2010,Oyster,1040406.9
2010,Red Drum,231827.74
2010,River Herring,1765
2010,"Shrimp, Brown",4233181.42
2010,"Shrimp, Pink",52657.3
2010,"Shrimp, White",1658681.11
2010,Southern Flounder,1689557.43
2010,Spotted Seatrout,202647.32
2010,Striped Bass,500152.47
2010,Striped Mullet,2082832.18
2011,Blue Crab,30035391.95
2011,Hard Clams,295466.46
2011,Kingfishes,486852.76
2011,Oyster,800543.17
2011,Red Drum,91979.74
2011,River Herring,1611
2011,"Shrimp, Brown",4337643.21
2011,"Shrimp, Pink",2294.6
2011,"Shrimp, White",696200.18
2011,Southern Flounder,1247449.61
2011,Spotted Seatrout,75239.47
2011,Striped Bass,410685.37
2011,Striped Mullet,1627893.71
2012,Blue Crab,26785668.68
2012,Hard Clams,396428.74
2012,Kingfishes,596248.97
2012,Oyster,440062.75
2012,Red Drum,66518.65
2012,River Herring,678
2012,"Shrimp, Brown",3599107.63
2012,"Shrimp, Pink",774967.65
2012,"Shrimp, White",1751039
2012,Southern Flounder,1646137.28
2012,Spotted Seatrout,265015.72
2012,Striped Bass,144555.25
2012,Striped Mullet,1859586.92
2013,Bay Scallop,1336.69
2013,Blue Crab,22202622.62
2013,Hard Clams,347072.8
2013,Kingfishes,605953.35
2013,Oyster,586624.55
2013,Red Drum,371948.9
2013,River Herring,743
2013,"Shrimp, Brown",2298916.55
2013,"Shrimp, Pink",231302.35
2013,"Shrimp, White",2341235.18
2013,Southern Flounder,2186579.25
2013,Spotted Seatrout,367648.08
2013,Striped Bass,96934.8
2013,Striped Mullet,1549156.57
2014,Blue Crab,26231112.13
2014,Hard Clams,430815.74
2014,Kingfishes,955087.12
2014,Oyster,727775.18
2014,Red Drum,90649.71
2014,River Herring,1139
2014,"Shrimp, Brown",3354809.06
2014,"Shrimp, Pink",111882.2
2014,"Shrimp, White",1218851.98
2014,Southern Flounder,1673511.14
2014,Spotted Seatrout,242244.8
2014,Striped Bass,96233.41
2014,Striped Mullet,1828350.68
2015,Blue Crab,32099632.96
2015,Hard Clams,415027.17
2015,Kingfishes,784753.48
2015,Oyster,648444.31
2015,Red Drum,80388.32
2015,"Shrimp, Brown",6314178.89
2015,"Shrimp, Pink",29139.5
2015,"Shrimp, White",2772320.33
2015,Southern Flounder,1202952.12
2015,Spotted Seatrout,128767.82
2015,Striped Bass,141823.92
2015,Striped Mullet,1247128.56
2016,Blue Crab,25462942.81
2016,Hard Clams,331214.69
2016,Kingfishes,834770.9
2016,Oyster,668422.56
2016,Red Drum,77101.12
2016,"Shrimp, Brown",4818960.51
2016,"Shrimp, Pink",45070.75
2016,"Shrimp, White",8330195.47
2016,Southern Flounder,899932.11
2016,Spotted Seatrout,254590.18
2016,Striped Bass,146188.6
2016,Striped Mullet,965337.26
2017,Blue Crab,19263758.47
2017,Hard Clams,273280.33
2017,Kingfishes,942946.41
2017,Oyster,852847.98
2017,Red Drum,187038.7
2017,"Shrimp, Brown",4529615.15
2017,"Shrimp, Pink",209773.33
2017,"Shrimp, White",9133284.81
2017,Southern Flounder,1396383.92
2017,Spotted Seatrout,299951.5
2017,Striped Bass,99008.98
2017,Striped Mullet,1366350.86
2018,Blue Crab,17015697.05
2018,Hard Clams,199954.96
2018,Kingfishes,407172.88
2018,Oyster,625277.81
2018,Red Drum,144640.05
2018,"Shrimp, Brown",6125841.21
2018,"Shrimp, Pink",69350.9
2018,"Shrimp, White",3521247.66
2018,Southern Flounder,903841.93
2018,Spotted Seatrout,128979.66
2018,Striped Bass,136047.42
2018,Striped Mullet,1314385.2
2019,Bay Scallop,***
2019,Blue Crab,23027007.82
2019,Hard Clams,118148.74
2019,Kingfishes,702327.56
2019,Oyster,832708.37
2019,Red Drum,56419.15
2019,"Shrimp, Brown",1496597
2019,"Shrimp, Pink",2077.82
2019,"Shrimp, White",8106871.17
2019,Southern Flounder,800079.87
2019,Spotted Seatrout,378499.7
2019,Striped Bass,137555.11
2019,Striped Mullet,1362216.59
2020,Bay Scallop,***
2020,Blue Crab,13548410.75
2020,Hard Clams,71051.59
2020,Kingfishes,640758.76
2020,Oyster,829105.54
2020,Red Drum,165666.45
2020,"Shrimp, Brown",1863556.46
2020,"Shrimp, Pink",29733.01
2020,"Shrimp, White",7819441.44
2020,Southern Flounder,479905.26
2020,Spotted Seatrout,568762.57
2020,Striped Bass,123933
2020,Striped Mullet,1299499.97
2021,Blue Crab,12819844.25
2021,Hard Clams,81275.15
2021,Kingfishes,808049.32
2021,Oyster,1227399.95
2021,Red Drum,200824.97
2021,"Shrimp, Brown",2054934.97
2021,"Shrimp, Pink",4564.75
2021,"Shrimp, White",7085146.68
2021,Southern Flounder,485023.66
2021,Spotted Seatrout,695970.31
2021,Striped Bass,27929.6
2021,Striped Mullet,2140619.94
