Year,Annual Average Flow (m3/s)
1974,184.8841463
1975,252.3753487
1976,118.8230325
1977,136.7443165
1978,218.4480864
1979,260.511655
1980,139.61599
1981,70.27312921
1982,193.0844532
1983,226.4521113
1984,263.8635082
1985,132.8583143
1986,72.61393572
1987,203.3223224
1988,87.51845522
1989,313.3213046
1990,165.3168643
1991,123.9321322
1992,164.0826356
1993,183.1626773
1994,124.7585225
1995,209.5371195
1996,264.0082798
1997,137.946642
1998,242.4095829
1999,317.7754513
2000,164.6810301
2001,113.3095892
2002,129.6469666
2003,293.6294826
2004,160.7941947
2005,129.3325798
2006,190.6688861
2007,97.18876979
2008,106.9534483
2009,142.4544279
2010,156.2687898
2011,84.42235622
2012,94.44648522
2013,164.4902331
2014,240.41662
2015,222.9903417
2016,260.5139808
2017,130.731656
2018,238.0587189
2019,184.4361543
