Year,Number
2007,154852
2008,144833
2009,151761
2010,158040
2011,150201
2012,157357
2013,164012
2014,167682
2015,166876
2016,161812
2017,164422
2018,154978
2019,160027
2020,169625
2021,192732
2022,177418
