"","year","mean_temperature"
"1",1975,21.375
"2",1976,17.2126623376623
"3",1977,3.75
"4",1978,17.9666666666667
"5",1979,16.9166666666667
"6",1980,21.125
"7",1981,18.6458333333333
"8",1982,19.0555555555556
"9",1983,18.6111111111111
"10",1984,17.9340277777778
"11",1985,17.9583333333333
"12",1986,19.8030257936508
"13",1987,19.8175213675214
"14",1988,18.6318865740741
"15",1989,19.4862880291005
"16",1990,21.2423032407407
"17",1991,20.058811026936
"18",1992,19.5397569444444
"19",1993,21.5366512345679
"20",1994,21.019208511396
"21",1995,20.3597222222222
"22",1996,18.6195759218648
"23",1997,19.447749732906
"24",1998,20.7426301594747
"25",1999,18.6383548881674
"26",2000,18.0972413003663
"27",2001,19.8335135985288
"28",2002,21.4529761904762
"29",2003,18.0493702342048
"30",2004,19.6490740740741
"31",2005,19.4979166666667
"32",2006,19.1701388888889
"33",2007,21.3155092592593
"34",2008,21.0743055555556
"35",2009,19.8828703703704
"36",2010,19.8564814814815
"37",2011,19.9894675925926
"38",2012,20.9641203703704
"39",2013,19.375
"40",2014,19.5199074074074
"41",2015,19.6445601851852
"42",2016,20.5324074074074
"43",2017,20.0068418106061
"44",2018,19.3335416666667
"45",2019,20.2293402777778
"46",2020,12.5333333333333
