"","Year","Number"
"1","2007",205215
"2","2008",173686
"3","2009",187957
"4","2010",197559
"5","2011",194833
"6","2012",203944
"7","2013",211720
"8","2014",215649
"9","2015",214368
"10","2016",210975
"11","2017",210338
"12","2018",190494
"13","2019",204598
"14","2020",225012
"15","2021",223619
"16","2022",212562
