Year,Annual Average TP Load (kg P/d)
1982,2263.040529
1983,2235.900997
1984,2209.435439
1985,1675.378035
1986,1000.451198
1987,2368.894181
1988,1005.033895
1989,2184.270296
1990,1943.161031
1991,1361.539796
1992,1361.89937
1993,1761.750302
1994,1432.74686
1995,1285.408097
1996,2313.701313
1997,1389.203978
1998,1766.69477
1999,1461.829569
2000,1274.982414
2001,847.8908535
2002,920.6430159
2003,4161.537353
2004,2346.589568
2005,1415.922296
2006,1620.59497
2007,1097.026489
2008,882.962899
2009,1631.711338
2010,1557.218145
2011,1041.870028
2012,800.9970385
2013,1542.692712
2014,1409.574929
2015,1506.433454
2016,1962.652448
2017,1356.52397
2018,2582.017022
2019,2303.16206
