Year,Flow normalized TN Load (kg/d)
1974,15827.15315
1975,16032.96823
1976,16256.81908
1977,16420.66773
1978,16603.73006
1979,16773.63758
1980,16906.01026
1981,16997.13076
1982,17066.49858
1983,16992.85134
1984,16847.16667
1985,16641.3406
1986,16608.80022
1987,16616.18686
1988,16578.63349
1989,16417.21501
1990,16410.3998
1991,16422.92036
1992,16199.39605
1993,15757.08539
1994,15215.0622
1995,14556.67468
1996,14044.98794
1997,13732.92418
1998,13594.04224
1999,13512.37494
2000,13521.75244
2001,13569.32
2002,13750.47096
2003,14034.95744
2004,14435.02988
2005,14769.7693
2006,15086.34941
2007,15444.82801
2008,15816.88005
2009,16097.30647
2010,16417.76627
2011,16814.92757
2012,17305.39707
2013,17483.97905
2014,17350.42976
2015,17149.98548
2016,17012.83456
2017,16788.75326
2018,16676.14933
2019,16521.31184
