Year,Chlorophyll a (ug/L)
1989,20.5
1990,26.5
1991,22.5
1992,10.5
1993,6.5
1994,7.5
1995,12
1996,28.5
2001,13
2002,13
2003,28.5
2004,24
2005,23
2006,26
2007,17
2008,15
2009,17
2010,18
2011,12.5
2012,21.5
2013,20
2014,39
2015,20
2016,23
2017,14.5
2018,36
2019,19
