"","Year","Number"
"1","2007",314671
"2","2008",267049
"3","2009",283327
"4","2010",295479
"5","2011",289047
"6","2012",302941
"7","2013",315988
"8","2014",318605
"9","2015",313969
"10","2016",305894
"11","2017",305149
"12","2018",273952
"13","2019",298572
"14","2020",328479
"15","2021",320943
"16","2022",307589
