year,mean_turbidity
2008,88.33333333
2009,67.22222222
2010,87.86666667
2011,86
2012,93.3
2013,70
2014,67.21428571
2015,73.63636364
2016,84.28571429
2017,70.90909091
2018,74
2019,82.73333333
2020,53.33333333
2021,70
2022,68.84210526
