"","Year","AirportName","Temperature"
"108",1973,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.8666666666667
"109",1974,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.4583333333333
"110",1974,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",16.1666666666667
"111",1974,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.5416666666667
"112",1974,"NEW RIVER MCAF, NC US",17.6
"113",1974,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.2083333333333
"114",1975,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.6916666666667
"115",1975,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",16.4166666666667
"116",1975,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.875
"117",1975,"NEW RIVER MCAF, NC US",18.325
"118",1975,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.725
"119",1976,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.3583333333333
"120",1976,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.2666666666667
"121",1976,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.475
"122",1976,"NEW RIVER MCAF, NC US",16.9
"123",1976,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.425
"124",1977,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17
"125",1977,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.8666666666667
"126",1977,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.7583333333333
"127",1977,"NEW RIVER MCAF, NC US",17.2
"128",1977,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.55
"129",1978,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.3666666666667
"130",1978,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.275
"131",1978,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.3666666666667
"132",1978,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.1916666666667
"133",1979,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.3333333333333
"134",1979,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.5666666666667
"135",1979,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.8666666666667
"136",1979,"NEW RIVER MCAF, NC US",16.3166666666667
"137",1979,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.2583333333333
"138",1980,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.1333333333333
"139",1980,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.5083333333333
"140",1980,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.8166666666667
"141",1980,"NEW RIVER MCAF, NC US",16.85
"142",1980,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.0833333333333
"143",1981,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",15.5833333333333
"144",1981,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.1583333333333
"145",1981,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.15
"146",1981,"NEW RIVER MCAF, NC US",16.7583333333333
"147",1981,"WILMINGTON INTERNATIONAL AIRPORT, NC US",16.0583333333333
"148",1982,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.775
"149",1982,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.925
"150",1982,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.125
"151",1982,"NEW RIVER MCAF, NC US",17.8083333333333
"152",1982,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.125
"153",1983,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.5833333333333
"154",1983,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.8
"155",1983,"NEW RIVER MCAF, NC US",17.3916666666667
"156",1983,"WILMINGTON INTERNATIONAL AIRPORT, NC US",16.8583333333333
"157",1984,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.9416666666667
