year,mean_turbidity
2008,95.625
2009,110.4038462
2010,98.79545455
2011,92.11627907
2012,104.2093023
2013,92.95744681
2014,108.8478261
2015,91.92682927
2016,89.53658537
2017,105.0227273
2018,94.8372093
2019,106.6585366
2020,91.30769231
2021,97.5
2022,113.8292683
