Year,Chlorophyll a (ug/L)
1989,14.87292039
1990,16.78078472
1991,13.39200395
1992,8.221401116
1993,7.288473396
1994,4.736125938
1995,8.445450382
1996,26.25305266
2001,8.75612669
2002,11.95205364
2003,25.22196756
2004,16.97088101
2005,13.90785012
2006,15.86465384
2007,13.99858131
2008,10.6201506
2009,13.54524913
2010,14.92477126
2011,9.964801607
2012,14.29960453
2013,13.56237965
2014,19.38351453
2015,32.62566734
2016,18.60115778
2017,14.96941604
2018,19.43416008
2019,18.09443803
