YEAR,Mean_CPUE
1990,23.41918472
1991,11.69301403
1992,5.733720576
1993,13.9909229
1994,15.4803408
1995,18.42149035
1996,21.93553572
1997,9.807479442
1998,13.13592778
1999,12.93041032
2000,12.31645695
2001,10.81938279
2002,8.634574236
2003,12.63699996
2004,17.23975719
2005,9.910221752
2006,9.50350435
2007,5.310506627
2008,11.06368834
2009,8.560470095
2010,9.145020975
2011,18.16883004
2012,20.34211515
2013,15.91452269
2014,10.51000964
2015,12.0250454
2016,14.61229818
2017,17.29867832
2018,15.6745446
2019,12.3461384
