YEAR,Mean_CPUE
1990,262.6715489
1991,426.7687068
1992,527.8524266
1993,300.0103958
1994,336.4666319
1995,299.1503541
1996,219.127898
1997,186.7888216
1998,280.6356971
1999,347.2840709
2000,315.1998403
2001,332.4714851
2002,247.0432046
2003,265.1796377
2004,577.5458804
2005,593.127646
2006,391.2279106
2007,231.2786977
2008,301.7652819
2009,409.1974667
2010,488.1761327
2011,739.8304153
2012,522.1332535
2013,455.9197953
2014,741.374297
2015,734.1440115
2016,599.2343676
2017,441.7366741
2018,659.9611985
2019,920.0087567
