Year,Chlorophyll a (ug/L)
1983,7.5
1984,2
1985,4.75
1986,3
1987,3.5
1988,1.25
1989,1.5
1990,2
1991,3.75
1992,0.75
1993,1.75
1994,1.75
1995,3.5
1996,5.25
2001,7
2002,3
2003,1.5
2004,7
2005,2
2006,4
2007,4.05
2008,5.35
2009,5.7
2010,8.05
2011,3.8
2012,4.3
2013,8.25
2014,4.4
2015,3.4
2016,8.4
2017,7.95
2018,7.4
