County,Land Cover,1996 sq.mi,2001 sq.mi,2006 sq.mi,2011 sq.mi,2016 sq.mi,,,,,,,,,,
Scotland,BAR,0.29,0.27,0.55,0.51,0.46,,,,,,,,,,
Scotland,WTR,1.97,2.08,2.06,2.29,2.26,,,,,,,,,,
Tyrell,HID,0.17,0.18,0.2,0.22,0.23,,,,,,,,,,
Tyrell,LID,2.85,2.95,3.02,3.03,3.03,,,,,,,,,,
Tyrell,OSD,0.48,0.49,0.5,0.5,0.5,,,,,,,,,,
Tyrell,GRS,1.05,2.36,11.33,3.46,1.01,,,,,,,,,,
Tyrell,AGR,104.51,105.29,105.14,105.52,105.56,,,,,,,,,,
Tyrell,FOR,23.34,21.51,11.83,13.51,22.13,,,,,,,,,,
Tyrell,SCB,2.79,3.2,3.97,9.59,3.38,,,,,,,,,,
Tyrell,WDW,235.03,232.47,227.54,227.09,228.03,,,,,,,,,,
Tyrell,EMW,15.3,17.03,21.48,21.67,20.81,,,,,,,,,,
Tyrell,BAR,0.17,0.16,0.24,0.24,0.34,,,,,,,,,,
Tyrell,WTR,214.6,214.67,215.02,215.46,215.27,,,,,,,,,,
Washington,HID,0.58,0.59,0.65,0.68,0.7,,,,,,,,,,
Washington,LID,5.28,5.55,5.84,5.94,5.95,,,,,,,,,,
Washington,OSD,2.46,2.55,2.61,2.7,2.72,,,,,,,,,,
Washington,GRS,2.08,3.76,12.12,9.92,7.22,,,,,,,,,,
Washington,AGR,153.09,153.78,152.58,151.86,152.02,,,,,,,,,,
Washington,FOR,51.89,47.07,37.03,38.03,44.4,,,,,,,,,,
Washington,SCB,7.58,10.5,12.46,14.26,10.52,,,,,,,,,,
Washington,WDW,115.94,113.7,109.75,105.78,105.78,,,,,,,,,,
Washington,EMW,8.21,9.59,12.87,16.44,16.64,,,,,,,,,,
Washington,BAR,0.07,0.07,0.17,0.18,0.2,,,,,,,,,,
Washington,WTR,77.23,77.24,78.32,78.59,78.24,,,,,,,,,,
Wayne,HID,7.23,7.3,7.91,8.44,8.8,,,,,,,,,,
Wayne,LID,28.21,28.74,29.57,30.36,30.9,,,,,,,,,,
Wayne,OSD,16.2,17.31,18.33,19.45,20.1,,,,,,,,,,
Wayne,GRS,8.36,10.44,13.17,9.49,10.56,,,,,,,,,,
Wayne,AGR,255.94,256.83,255.67,254.53,253.56,,,,,,,,,,
Wayne,FOR,88.93,88.9,84.79,85.7,83.3,,,,,,,,,,
Wayne,SCB,32.59,32.28,32.14,33.95,34.75,,,,,,,,,,
Wayne,WDW,106.76,101.48,101.39,101.27,101.42,,,,,,,,,,
Wayne,EMW,5.42,6.19,5.4,5.19,4.84,,,,,,,,,,
Wayne,BAR,0.85,0.77,1.32,1.24,1.23,,,,,,,,,,
Wayne,WTR,6.21,6.44,7.01,7.07,7.23,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
