Estimate_status,Year,Species_group,Sub_group,Total_harvest_(A+B1),PSE,Total_weight_lb,PSE,Total_weight_kg,PSE
FINAL,1987,CARTILAGINOUS FISHES,SKATES/RAYS,77377,46.8,96372,81.1,43714,81.1
FINAL,1987,CATFISHES,SALTWATER CATFISHES,1329,57.7,1267,60.5,575,60.5
FINAL,1987,CODS AND HAKES,OTHER CODS/HAKES,3217,79,716,79,325,79
FINAL,1987,DOLPHINS,DOLPHINS,93712,25.8,490680,24.7,222571,24.7
FINAL,1987,DRUMS,ATLANTIC CROAKER,1390142,15.7,559073,15.8,253594,15.8
FINAL,1987,DRUMS,BLACK DRUM,90119,57.4,91522,40.1,41514,40.1
FINAL,1987,DRUMS,KINGFISHES,1857067,24.7,992632,24.8,450255,24.8
FINAL,1987,DRUMS,OTHER DRUM,7204,76.3,3176,76.3,1441,76.3
FINAL,1987,DRUMS,RED DRUM,242703,34,759124,35.5,344336,35.5
FINAL,1987,DRUMS,SILVER PERCH,86348,53.3,17430,49.3,7906,49.3
FINAL,1987,DRUMS,SPOT,6206621,23.9,2251362,25.1,1021211,25.1
FINAL,1987,DRUMS,SPOTTED SEATROUT,1137734,25.5,1476034,24.8,669525,24.8
FINAL,1987,DRUMS,WEAKFISH,2403361,53.9,3442746,61.5,1561619,61.5
FINAL,1987,EELS,EELS,1064,98.4,469,98.4,213,98.4
FINAL,1987,FLOUNDERS,GULF FLOUNDER,686,100.4,313,100.4,142,100.4
FINAL,1987,FLOUNDERS,OTHER FLOUNDERS,52289,47,43781,59.6,19859,59.6
FINAL,1987,FLOUNDERS,SOUTHERN FLOUNDER,180600,34,251316,39.1,113996,39.1
FINAL,1987,FLOUNDERS,SUMMER FLOUNDER,530793,18.4,403096,17.5,182843,17.5
FINAL,1987,GRUNTS,OTHER GRUNTS,12685,50,3366,46.9,1527,46.9
FINAL,1987,GRUNTS,PIGFISH,697469,20.3,202623,18.4,91909,18.4
FINAL,1987,GRUNTS,WHITE GRUNT,36676,37.4,62947,36.8,28553,36.8
FINAL,1987,HERRINGS,HERRINGS,108278,44,23871,44,10828,44
FINAL,1987,JACKS,CREVALLE JACK,33711,58.8,70893,61.6,32157,61.6
FINAL,1987,JACKS,FLORIDA POMPANO,304243,22.9,126931,23,57576,23
FINAL,1987,JACKS,GREATER AMBERJACK,9471,31.3,318731,36.4,144576,36.4
FINAL,1987,JACKS,OTHER JACKS,13414,39.2,28591,71.8,12969,71.8
FINAL,1987,MULLETS,MULLETS,5239716,55.1,812992,53.1,368771,53.1
FINAL,1987,OTHER FISHES,OTHER FISHES,74175,23.6,540030,37.6,244956,37.6
FINAL,1987,PORGIES,OTHER PORGIES,23180,31.9,23385,35.9,10607,35.9
FINAL,1987,PORGIES,PINFISHES,1047755,26.4,281378,23.9,127632,23.9
FINAL,1987,PORGIES,RED PORGY,26699,53.3,33809,52.4,15335,52.4
FINAL,1987,PORGIES,SCUP,2161,82.5,1545,74.8,701,74.8
FINAL,1987,PORGIES,SHEEPSHEAD,52061,37.2,172377,58,78189,58
FINAL,1987,PUFFERS,PUFFERS,127347,40.4,54527,39.8,24733,39.8
FINAL,1987,SEA BASSES,BLACK SEA BASS,541324,27.1,357611,29.7,162211,29.7
FINAL,1987,SEA BASSES,EPINEPHELUS GROUPERS,2372,40.6,16650,71.3,7552,71.3
FINAL,1987,SEA BASSES,MYCTEROPERCA GROUPERS,27884,54,166616,61.3,75577,61.3
FINAL,1987,SEA BASSES,OTHER SEA BASSES,33432,57.9,10874,58.8,4932,58.8
FINAL,1987,SEAROBINS,SEAROBINS,6729,88.8,266,71.2,121,71.2
FINAL,1987,SNAPPERS,GRAY SNAPPER,7199,57,7521,62,3412,62
FINAL,1987,SNAPPERS,OTHER SNAPPERS,11514,51.9,13255,70.4,6013,70.4
FINAL,1987,SNAPPERS,RED SNAPPER,32695,41.9,90103,40.9,40870,40.9
FINAL,1987,SNAPPERS,VERMILION SNAPPER,38109,67.4,40992,62.8,18594,62.8
FINAL,1987,TEMPERATE BASSES,WHITE PERCH,79567,66.8,32049,66.6,14537,66.6
FINAL,1987,TOADFISHES,TOADFISHES,10801,80.5,6137,82.8,2784,82.8
FINAL,1987,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,4212,56.4,8104,63.4,3676,63.4
FINAL,1987,TUNAS AND MACKERELS,KING MACKEREL,199521,18.1,1767178,23.9,801587,23.9
FINAL,1987,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,27352,27,245563,29.8,111387,29.8
FINAL,1987,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,117372,56.4,3170455,52.6,1438109,52.6
FINAL,1987,TUNAS AND MACKERELS,SPANISH MACKEREL,974840,22.2,1323352,18.1,600268,18.1
FINAL,1987,WRASSES,OTHER WRASSES,4940,67.9,3836,66.2,1740,66.2
FINAL,1987,WRASSES,TAUTOG,4329,71.8,8877,69.7,4027,69.7
FINAL,1988,BARRACUDAS,BARRACUDAS,3425,44.1,765,83.4,347,83.4
FINAL,1988,BLUEFISH,BLUEFISH,3131369,20.6,4475001,55,2029847,55
FINAL,1988,CARTILAGINOUS FISHES,DOGFISH SHARKS,121457,38.4,300069,76.2,136111,76.2
FINAL,1988,CARTILAGINOUS FISHES,OTHER SHARKS,23478,39.2,643330,108.3,291813,108.3
FINAL,1988,CARTILAGINOUS FISHES,SKATES/RAYS,103989,35.6,164240,37.3,74499,37.3
FINAL,1988,CATFISHES,FRESHWATER CATFISHES,559,100.9,0,.,0,.
FINAL,1988,CATFISHES,SALTWATER CATFISHES,1260,69.4,0,.,0,.
FINAL,1988,CODS AND HAKES,ATLANTIC COD,11872,90.8,7926,90.8,3595,90.8
FINAL,1988,CODS AND HAKES,OTHER CODS/HAKES,22864,40,794,107.6,360,107.6
FINAL,1988,DOLPHINS,DOLPHINS,81822,33.8,205599,43.5,93259,43.5
FINAL,1988,DRUMS,ATLANTIC CROAKER,3318868,24.6,217743,39,98768,39
FINAL,1988,DRUMS,BLACK DRUM,13363,45.3,0,.,0,.
FINAL,1988,DRUMS,KINGFISHES,2890242,27.5,901222,43.8,408792,43.8
FINAL,1988,DRUMS,RED DRUM,532944,52.3,163965,28.1,74374,28.1
FINAL,1988,DRUMS,SILVER PERCH,111393,56.7,2167,45.6,983,45.6
FINAL,1988,DRUMS,SPOT,7023874,23.1,544890,42.8,247161,42.8
FINAL,1988,DRUMS,SPOTTED SEATROUT,828913,36.7,81667,41.9,37044,41.9
FINAL,1988,DRUMS,WEAKFISH,650224,24.3,175178,53,79460,53
FINAL,1988,EELS,EELS,8467,71.9,0,.,0,.
FINAL,1988,FLOUNDERS,GULF FLOUNDER,1367,76.8,0,.,0,.
FINAL,1988,FLOUNDERS,OTHER FLOUNDERS,18654,31.9,9491,44.2,4305,44.2
FINAL,1988,FLOUNDERS,SOUTHERN FLOUNDER,93973,35.6,11563,60.3,5245,60.3
FINAL,1988,FLOUNDERS,SUMMER FLOUNDER,1469995,17.9,138242,26.2,62706,26.2
FINAL,1988,GRUNTS,OTHER GRUNTS,6518,75.7,78,99.1,35,99.1
FINAL,1988,GRUNTS,PIGFISH,2159214,21,212347,29.4,96320,29.4
FINAL,1988,GRUNTS,WHITE GRUNT,56397,43.9,41990,59.1,19047,59.1
FINAL,1988,HERRINGS,HERRINGS,417776,80.4,5402,77.8,2450,77.8
FINAL,1988,JACKS,BLUE RUNNER,6904,90.6,0,.,0,.
FINAL,1988,JACKS,CREVALLE JACK,5263,43.7,7460,101.3,3384,101.3
FINAL,1988,JACKS,FLORIDA POMPANO,145068,36,4521,74.8,2051,74.8
FINAL,1988,JACKS,GREATER AMBERJACK,7010,58.6,15374,88.8,6974,88.8
FINAL,1988,JACKS,OTHER JACKS,328618,96.9,0,.,0,.
FINAL,1988,MULLETS,MULLETS,636856,53.2,9981,80.6,4527,80.6
FINAL,1988,OTHER FISHES,OTHER FISHES,2445469,88.7,196678,44.8,89213,44.8
FINAL,1988,PORGIES,OTHER PORGIES,15836,50,1342,58.5,609,58.5
FINAL,1988,PORGIES,PINFISHES,1011067,22.4,42862,40.6,19442,40.6
FINAL,1988,PORGIES,RED PORGY,52754,52.1,60538,81.1,27460,81.1
FINAL,1988,PORGIES,SCUP,1864,61.1,0,.,0,.
FINAL,1988,PORGIES,SHEEPSHEAD,152971,41.6,50046,53.3,22701,53.3
FINAL,1988,PUFFERS,PUFFERS,1710848,67.8,48731,45.7,22104,45.7
FINAL,1988,SEA BASSES,BLACK SEA BASS,514347,25,243317,63.7,110368,63.7
FINAL,1988,SEA BASSES,EPINEPHELUS GROUPERS,4111,46.3,22199,58.8,10070,58.8
FINAL,1988,SEA BASSES,MYCTEROPERCA GROUPERS,18961,31.3,23864,53.5,10825,53.5
FINAL,1988,SEA BASSES,OTHER SEA BASSES,8482,55.3,929,55.4,421,55.4
FINAL,1988,SEAROBINS,SEAROBINS,3769,82.4,0,.,0,.
FINAL,1988,SNAPPERS,GRAY SNAPPER,24,100,0,.,0,.
FINAL,1988,SNAPPERS,OTHER SNAPPERS,2272,80,0,.,0,.
FINAL,1988,SNAPPERS,RED SNAPPER,8592,56.7,998,92.3,453,92.3
FINAL,1988,SNAPPERS,VERMILION SNAPPER,44764,51.2,24569,68.3,11144,68.3
FINAL,1988,TEMPERATE BASSES,STRIPED BASS,9387,78.4,14624,99.3,6634,99.3
FINAL,1988,TEMPERATE BASSES,WHITE PERCH,8270,72.2,4089,73.9,1855,73.9
FINAL,1988,TOADFISHES,TOADFISHES,19224,83.1,0,.,0,.
FINAL,1988,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,6299,93.5,0,.,0,.
FINAL,1988,TUNAS AND MACKERELS,KING MACKEREL,162764,15.1,521744,26.7,236662,26.7
FINAL,1988,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,13495,29.1,8626,57.1,3913,57.1
FINAL,1988,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,290118,80.3,658041,41.3,298485,41.3
FINAL,1988,TUNAS AND MACKERELS,SPANISH MACKEREL,1375328,14.2,580007,25.2,263089,25.2
FINAL,1988,WRASSES,OTHER WRASSES,395,93.4,4360,93.4,1978,93.4
FINAL,1988,WRASSES,TAUTOG,7307,61,3261,91.9,1479,91.9
FINAL,1989,BARRACUDAS,BARRACUDAS,3335,40.6,53439,39.8,24240,39.8
FINAL,1989,BLUEFISH,BLUEFISH,4843723,14.8,7123822,19.7,3231344,19.7
FINAL,1989,CARTILAGINOUS FISHES,DOGFISH SHARKS,83267,40.8,557726,56.7,252983,56.7
FINAL,1989,CARTILAGINOUS FISHES,OTHER SHARKS,45322,27.5,994365,32,451041,32
FINAL,1989,CARTILAGINOUS FISHES,SKATES/RAYS,29726,48.5,60567,69.3,27473,69.3
FINAL,1989,CATFISHES,FRESHWATER CATFISHES,8862,60.6,10675,73.6,4842,73.6
FINAL,1989,CATFISHES,SALTWATER CATFISHES,19256,93.3,12794,92.9,5803,92.9
FINAL,1989,CODS AND HAKES,OTHER CODS/HAKES,6704,84,2773,88.9,1258,88.9
FINAL,1989,DOLPHINS,DOLPHINS,231953,29.1,1653574,24.6,750056,24.6
FINAL,1989,DRUMS,ATLANTIC CROAKER,5448002,13.3,1749275,13.9,793466,13.9
FINAL,1989,DRUMS,BLACK DRUM,649,71.2,3459,86.2,1569,86.2
FINAL,1989,DRUMS,KINGFISHES,694996,16.2,354489,17.9,160795,17.9
FINAL,1989,DRUMS,OTHER DRUM,4138,99.7,0,.,0,.
FINAL,1989,DRUMS,RED DRUM,234788,43.2,718961,45.9,326118,45.9
FINAL,1989,DRUMS,SILVER PERCH,433885,45.9,108807,45.8,49354,45.8
FINAL,1989,DRUMS,SPOT,10246429,18.8,3566280,19.7,1617654,19.7
FINAL,1989,DRUMS,SPOTTED SEATROUT,574228,21.9,950200,26.8,431008,26.8
FINAL,1989,DRUMS,WEAKFISH,456191,24,331840,26.6,150522,26.6
FINAL,1989,EELS,EELS,1063,99.8,823,99.8,373,99.8
FINAL,1989,FLOUNDERS,OTHER FLOUNDERS,8937,43.8,6393,49.4,2900,49.4
FINAL,1989,FLOUNDERS,SOUTHERN FLOUNDER,119047,30.6,199850,36,90652,36
FINAL,1989,FLOUNDERS,SUMMER FLOUNDER,559131,16.4,792196,18.7,359338,18.7
FINAL,1989,GRUNTS,OTHER GRUNTS,6180,51.9,2420,49.7,1098,49.7
FINAL,1989,GRUNTS,PIGFISH,1484283,18.5,502369,20.8,227873,20.8
FINAL,1989,GRUNTS,WHITE GRUNT,72351,27.7,90970,27.6,41264,27.6
FINAL,1989,HERRINGS,HERRINGS,64018,46.8,16644,44.2,7550,44.2
FINAL,1989,JACKS,BLUE RUNNER,2186,56.6,1964,71.4,891,71.4
FINAL,1989,JACKS,CREVALLE JACK,76342,75.7,57997,41.2,26307,41.2
FINAL,1989,JACKS,FLORIDA POMPANO,255632,28.7,146074,30.8,66259,30.8
FINAL,1989,JACKS,GREATER AMBERJACK,10688,42.9,482794,45.3,218994,45.3
FINAL,1989,JACKS,OTHER JACKS,10734,75.7,3418,46.3,1550,46.3
FINAL,1989,MULLETS,MULLETS,231140,37.5,160118,36.4,72629,36.4
FINAL,1989,OTHER FISHES,OTHER FISHES,189552,63.1,273809,29.4,124199,29.4
FINAL,1989,PORGIES,OTHER PORGIES,17837,46.2,21367,40.9,9692,40.9
FINAL,1989,PORGIES,PINFISHES,1936733,18.8,539968,24.7,244928,24.7
FINAL,1989,PORGIES,RED PORGY,69672,29.9,100138,31.6,45422,31.6
FINAL,1989,PORGIES,SCUP,14555,50.2,6230,62.7,2826,62.7
FINAL,1989,PORGIES,SHEEPSHEAD,136175,30.9,243496,26.3,110449,26.3
FINAL,1989,PUFFERS,PUFFERS,630577,25.4,397010,27.6,180082,27.6
FINAL,1989,SEA BASSES,BLACK SEA BASS,697860,18.5,504442,18.2,228813,18.2
FINAL,1989,SEA BASSES,EPINEPHELUS GROUPERS,3273,39,13085,40.2,5935,40.2
FINAL,1989,SEA BASSES,MYCTEROPERCA GROUPERS,35401,28.1,103359,26.3,46883,26.3
FINAL,1989,SEA BASSES,OTHER SEA BASSES,6053,48.2,2067,52.2,937,52.2
FINAL,1989,SNAPPERS,GRAY SNAPPER,504,66.3,577,61.9,262,61.9
FINAL,1989,SNAPPERS,LANE SNAPPER,1001,73,155,70.6,70,70.6
FINAL,1989,SNAPPERS,OTHER SNAPPERS,556,98.2,520,98.2,236,98.2
FINAL,1989,SNAPPERS,RED SNAPPER,3681,39.7,13437,40.5,6095,40.5
FINAL,1989,SNAPPERS,VERMILION SNAPPER,52169,29,46728,30.6,21196,30.6
FINAL,1989,TEMPERATE BASSES,STRIPED BASS,1966,96.8,32509,96.8,14746,96.8
FINAL,1989,TEMPERATE BASSES,WHITE PERCH,101384,71.8,74623,70.7,33849,70.7
FINAL,1989,TOADFISHES,TOADFISHES,6022,45.7,2013,48.5,913,48.5
FINAL,1989,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,6280,36.6,20744,40.2,9409,40.2
FINAL,1989,TUNAS AND MACKERELS,KING MACKEREL,113376,16.6,1163894,15.4,527939,15.4
FINAL,1989,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,39113,28.8,403619,31.3,183081,31.3
FINAL,1989,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,129964,26.5,2989158,28.1,1355873,28.1
FINAL,1989,TUNAS AND MACKERELS,SPANISH MACKEREL,1374008,33.5,1594616,26,723313,26
FINAL,1989,WRASSES,OTHER WRASSES,171,96,1814,96,823,96
FINAL,1989,WRASSES,TAUTOG,25312,36.7,58367,49.4,26475,49.4
FINAL,1990,BARRACUDAS,BARRACUDAS,4326,51.2,38065,52.8,17266,52.8
FINAL,1990,BLUEFISH,BLUEFISH,6838820,16.4,10345929,30.9,4692883,30.9
FINAL,1990,CARTILAGINOUS FISHES,DOGFISH SHARKS,57110,46,476110,57.2,215962,57.2
FINAL,1990,CARTILAGINOUS FISHES,OTHER SHARKS,5127,25.8,38504,37.4,17465,37.4
FINAL,1990,CARTILAGINOUS FISHES,SKATES/RAYS,16075,49.8,26040,61.3,11812,61.3
FINAL,1990,CATFISHES,FRESHWATER CATFISHES,156192,86,101988,87.1,46262,87.1
FINAL,1990,CATFISHES,SALTWATER CATFISHES,6300,93.1,7403,87.8,3358,87.8
FINAL,1990,CODS AND HAKES,OTHER CODS/HAKES,13188,77.3,2965,76.1,1345,76.1
FINAL,1990,DOLPHINS,DOLPHINS,209676,27.3,987471,26.7,447914,26.7
FINAL,1990,DRUMS,ATLANTIC CROAKER,2298692,16.1,722352,16,327657,16
FINAL,1990,DRUMS,BLACK DRUM,7797,53.5,7471,45.6,3389,45.6
FINAL,1990,DRUMS,KINGFISHES,2185355,22.7,1045318,23.5,474153,23.5
FINAL,1990,DRUMS,OTHER DRUM,5726,70.7,4690,71.7,2127,71.7
FINAL,1990,DRUMS,RED DRUM,98374,33.4,261688,31.9,118701,31.9
FINAL,1990,DRUMS,SILVER PERCH,246418,34.8,61496,32.6,27894,32.6
FINAL,1990,DRUMS,SPOT,7920697,24.6,2453645,26.6,1112966,26.6
FINAL,1990,DRUMS,SPOTTED SEATROUT,385413,32.9,424443,19.7,192526,19.7
FINAL,1990,DRUMS,WEAKFISH,149508,20.4,104761,19.4,47519,19.4
FINAL,1990,FLOUNDERS,GULF FLOUNDER,1566,97.3,1938,97.3,879,97.3
FINAL,1990,FLOUNDERS,OTHER FLOUNDERS,13717,51,2440,98.4,1107,98.4
FINAL,1990,FLOUNDERS,SOUTHERN FLOUNDER,138106,23,216960,22.7,98412,22.7
FINAL,1990,FLOUNDERS,SUMMER FLOUNDER,1112750,22.4,1236371,25.3,560814,25.3
FINAL,1990,GRUNTS,OTHER GRUNTS,1082,65.5,488,66.3,222,66.3
FINAL,1990,GRUNTS,PIGFISH,1204166,37.8,370588,36.9,168098,36.9
FINAL,1990,GRUNTS,WHITE GRUNT,619517,77,1043097,82.1,473146,82.1
FINAL,1990,HERRINGS,HERRINGS,990852,67.7,224975,66.7,102048,66.7
FINAL,1990,JACKS,BLUE RUNNER,88365,95.1,61270,94.1,27792,94.1
FINAL,1990,JACKS,CREVALLE JACK,5835,65.9,23939,52.2,10859,52.2
FINAL,1990,JACKS,FLORIDA POMPANO,1359662,33.6,512900,31.6,232650,31.6
FINAL,1990,JACKS,GREATER AMBERJACK,9340,36.2,229048,40.6,103896,40.6
FINAL,1990,JACKS,OTHER JACKS,924,58.3,2746,65.5,1245,65.5
FINAL,1990,MULLETS,MULLETS,308079,84.2,176491,80.8,80056,80.8
FINAL,1990,OTHER FISHES,OTHER FISHES,44234,28.7,209619,27.3,95083,27.3
FINAL,1990,PORGIES,OTHER PORGIES,40556,76,87511,78,39695,78
FINAL,1990,PORGIES,PINFISHES,1111270,34.7,280339,30,127161,30
FINAL,1990,PORGIES,RED PORGY,122953,47.2,146495,40.1,66450,40.1
FINAL,1990,PORGIES,SCUP,2318,89,1030,88.8,467,88.8
FINAL,1990,PORGIES,SHEEPSHEAD,103041,32,161180,27.5,73111,27.5
FINAL,1990,PUFFERS,PUFFERS,551157,40.5,300349,48.3,136237,48.3
FINAL,1990,SEA BASSES,BLACK SEA BASS,480936,29.1,354530,28,160814,28
FINAL,1990,SEA BASSES,EPINEPHELUS GROUPERS,25654,55.2,107492,54,48758,54
FINAL,1990,SEA BASSES,MYCTEROPERCA GROUPERS,58651,26.8,238942,37.6,108383,37.6
FINAL,1990,SEA BASSES,OTHER SEA BASSES,3505,77.7,3314,90.2,1503,90.2
FINAL,1990,SEAROBINS,SEAROBINS,6718,39.2,2553,38.8,1158,38.8
FINAL,1990,SNAPPERS,GRAY SNAPPER,1942,50.1,2323,55.1,1054,55.1
FINAL,1990,SNAPPERS,OTHER SNAPPERS,483,101.2,0,.,0,.
FINAL,1990,SNAPPERS,RED SNAPPER,2828,54.4,8851,48.2,4015,48.2
FINAL,1990,SNAPPERS,VERMILION SNAPPER,147309,72.6,177541,69.8,80532,69.8
FINAL,1990,SNAPPERS,YELLOWTAIL SNAPPER,109,100.1,146,100.1,66,100.1
FINAL,1990,TEMPERATE BASSES,WHITE PERCH,5475,86.3,1242,86.3,563,86.3
FINAL,1990,TOADFISHES,TOADFISHES,18355,78.4,12167,78.5,5519,78.5
FINAL,1990,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,17133,59,54871,56.4,24889,56.4
FINAL,1990,TUNAS AND MACKERELS,KING MACKEREL,273144,22.3,2502999,25.9,1135353,25.9
FINAL,1990,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,14427,21.4,101444,20.9,46015,20.9
FINAL,1990,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,33140,19.7,618644,23.9,280615,23.9
FINAL,1990,TUNAS AND MACKERELS,SPANISH MACKEREL,1011861,13.6,1462072,14.1,663192,14.1
FINAL,1990,WRASSES,OTHER WRASSES,2962,90.3,24162,89.2,10960,89.2
FINAL,1990,WRASSES,TAUTOG,8275,65.2,10262,45.8,4655,45.8
FINAL,1991,BARRACUDAS,BARRACUDAS,2325,32.5,36054,33.5,16354,33.5
FINAL,1991,BLUEFISH,BLUEFISH,2423772,21,4627434,24.9,2098990,24.9
FINAL,1991,CARTILAGINOUS FISHES,DOGFISH SHARKS,52948,37.1,321441,43.4,145805,43.4
FINAL,1991,CARTILAGINOUS FISHES,OTHER SHARKS,53965,44.9,180472,27.9,81861,27.9
FINAL,1991,CARTILAGINOUS FISHES,SKATES/RAYS,5537,40.3,5432,99.9,2464,99.9
FINAL,1991,CATFISHES,FRESHWATER CATFISHES,5826,68.4,5865,72.2,2660,72.2
FINAL,1991,CATFISHES,SALTWATER CATFISHES,10724,48.2,5286,47.4,2398,47.4
FINAL,1991,CODS AND HAKES,OTHER CODS/HAKES,137842,67.4,57624,67.3,26138,67.3
FINAL,1991,DOLPHINS,DOLPHINS,255927,18.6,1302358,18.6,590746,18.6
FINAL,1991,DRUMS,ATLANTIC CROAKER,1335923,17.6,488193,16,221443,16
FINAL,1991,DRUMS,BLACK DRUM,18451,36.4,24452,33.9,11091,33.9
FINAL,1991,DRUMS,KINGFISHES,2556003,15.2,1342855,15.2,609115,15.2
FINAL,1991,DRUMS,OTHER DRUM,181351,86,159922,86,72540,86
FINAL,1991,DRUMS,RED DRUM,111787,24.2,345911,23.9,156904,23.9
FINAL,1991,DRUMS,SILVER PERCH,374812,32.9,94995,34.7,43090,34.7
FINAL,1991,DRUMS,SPOT,9894562,17.8,3066857,18.3,1391117,18.3
FINAL,1991,DRUMS,SPOTTED SEATROUT,988049,13.1,1360530,13.1,617132,13.1
FINAL,1991,DRUMS,WEAKFISH,358273,33.6,286349,31.1,129887,31.1
FINAL,1991,EELS,EELS,803,104.2,0,.,0,.
FINAL,1991,FLOUNDERS,GULF FLOUNDER,9413,41.4,11126,40.8,5047,40.8
FINAL,1991,FLOUNDERS,OTHER FLOUNDERS,492,99.9,477,99.9,216,99.9
FINAL,1991,FLOUNDERS,SOUTHERN FLOUNDER,257319,14.9,489865,21.1,222201,21.1
FINAL,1991,FLOUNDERS,SUMMER FLOUNDER,567660,15.3,622637,15.1,282426,15.1
FINAL,1991,GRUNTS,OTHER GRUNTS,28596,99.1,347,101.5,157,101.5
FINAL,1991,GRUNTS,PIGFISH,700006,22.3,216657,22.1,98275,22.1
FINAL,1991,GRUNTS,WHITE GRUNT,109555,25.9,142869,26.1,64805,26.1
FINAL,1991,HERRINGS,HERRINGS,433624,60.4,92627,62.5,42015,62.5
FINAL,1991,JACKS,BLUE RUNNER,540,58.4,1139,51.3,517,51.3
FINAL,1991,JACKS,CREVALLE JACK,31012,33.9,37844,41.1,17166,41.1
FINAL,1991,JACKS,FLORIDA POMPANO,375936,18.6,166520,19.2,75533,19.2
FINAL,1991,JACKS,GREATER AMBERJACK,30734,72.5,91707,45.3,41598,45.3
FINAL,1991,JACKS,OTHER JACKS,29,104,34,104,15,104
FINAL,1991,MULLETS,MULLETS,52759,46.2,39386,45.4,17865,45.4
FINAL,1991,OTHER FISHES,OTHER FISHES,115453,22.9,318041,33.7,144263,33.7
FINAL,1991,PORGIES,OTHER PORGIES,15042,31.4,6932,31.1,3145,31.1
FINAL,1991,PORGIES,PINFISHES,1695613,15.3,465010,16,210927,16
FINAL,1991,PORGIES,RED PORGY,26578,28.3,36664,27.9,16631,27.9
FINAL,1991,PORGIES,SCUP,17736,38,5283,37.7,2396,37.7
FINAL,1991,PORGIES,SHEEPSHEAD,67277,22.1,154193,32.3,69941,32.3
FINAL,1991,PUFFERS,PUFFERS,215572,21.1,120756,22.5,54774,22.5
FINAL,1991,SEA BASSES,BLACK SEA BASS,383066,15.4,248115,16.8,112544,16.8
FINAL,1991,SEA BASSES,EPINEPHELUS GROUPERS,3586,38.8,15633,49,7091,49
FINAL,1991,SEA BASSES,MYCTEROPERCA GROUPERS,30657,32.8,148635,49.8,67420,49.8
FINAL,1991,SEA BASSES,OTHER SEA BASSES,1045,72.7,378,68.1,171,68.1
FINAL,1991,SEAROBINS,SEAROBINS,7905,53,2982,60.5,1352,60.5
FINAL,1991,SNAPPERS,GRAY SNAPPER,7856,38.9,8848,40.8,4014,40.8
FINAL,1991,SNAPPERS,OTHER SNAPPERS,563,58.3,3068,101.2,1392,101.2
FINAL,1991,SNAPPERS,RED SNAPPER,8082,53.1,18102,53.4,8211,53.4
FINAL,1991,SNAPPERS,VERMILION SNAPPER,33795,44.1,31234,36.7,14168,36.7
FINAL,1991,TEMPERATE BASSES,STRIPED BASS,1032,100,10240,100,4645,100
FINAL,1991,TEMPERATE BASSES,WHITE PERCH,8834,75.9,3814,77.8,1730,77.8
FINAL,1991,TOADFISHES,TOADFISHES,9598,46,0,.,0,.
FINAL,1991,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,5465,40.6,11367,40.7,5156,40.7
FINAL,1991,TUNAS AND MACKERELS,KING MACKEREL,258306,17.6,2590951,20.4,1175248,20.4
FINAL,1991,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,22813,17.4,163417,18.5,74126,18.5
FINAL,1991,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,81876,22.4,1503826,24.9,682131,24.9
FINAL,1991,TUNAS AND MACKERELS,SPANISH MACKEREL,1119245,15.9,1695569,11.6,769105,11.6
FINAL,1991,WRASSES,OTHER WRASSES,257,93.5,177,93.5,80,93.5
FINAL,1991,WRASSES,TAUTOG,9821,42.8,37684,47.2,17094,47.2
FINAL,1992,BARRACUDAS,BARRACUDAS,1250,32.9,14768,31.9,6699,31.9
FINAL,1992,BLUEFISH,BLUEFISH,1562752,16.5,2226311,18.7,1009848,18.7
FINAL,1992,CARTILAGINOUS FISHES,DOGFISH SHARKS,26865,48,144564,56.1,65574,56.1
FINAL,1992,CARTILAGINOUS FISHES,OTHER SHARKS,9401,30.9,62936,29.7,28547,29.7
FINAL,1992,CARTILAGINOUS FISHES,SKATES/RAYS,7889,61.4,22849,75.8,10364,75.8
FINAL,1992,CATFISHES,FRESHWATER CATFISHES,1614,97.5,0,.,0,.
FINAL,1992,CATFISHES,SALTWATER CATFISHES,240,101,221,101,100,101
FINAL,1992,CODS AND HAKES,OTHER CODS/HAKES,4341,56.3,3089,54.5,1401,54.5
FINAL,1992,DOLPHINS,DOLPHINS,167701,21.3,927216,21.4,420583,21.4
FINAL,1992,DRUMS,ATLANTIC CROAKER,1836941,15.6,556026,15.1,252212,15.1
FINAL,1992,DRUMS,BLACK DRUM,30466,34.4,52009,33.1,23591,33.1
