Estimate_status,Year,Species_group,Sub_group,Total_harvest_(A+B1),PSE,Total_weight_lb,PSE,Total_weight_kg,PSE
FINAL,1982,DRUMS,BLACK DRUM,2699,98.5,662,98.5,300,98.5
FINAL,1982,DRUMS,KINGFISHES,1746480,27.7,637390,30.4,289118,30.4
FINAL,1982,DRUMS,OTHER DRUM,1149201,86.3,282490,77.6,128137,77.6
FINAL,1982,DRUMS,RED DRUM,48728,19.5,155015,31.4,70314,31.4
FINAL,1982,DRUMS,SILVER PERCH,133240,51.8,29496,53,13379,53
FINAL,1982,DRUMS,SPOT,7583890,18.3,2048343,18.3,929122,18.3
FINAL,1982,DRUMS,SPOTTED SEATROUT,342781,32,308947,29.3,140138,29.3
FINAL,1982,DRUMS,WEAKFISH,255080,57,348645,64.9,158144,64.9
FINAL,1982,EELS,EELS,5070,111.7,8942,111.7,4056,111.7
FINAL,1982,FLOUNDERS,OTHER FLOUNDERS,46649,35.4,56964,61.2,25839,61.2
FINAL,1982,FLOUNDERS,SOUTHERN FLOUNDER,142311,55.8,114267,50.2,51831,50.2
FINAL,1982,FLOUNDERS,SUMMER FLOUNDER,2263184,22.3,2028678,28.5,920202,28.5
FINAL,1982,GRUNTS,PIGFISH,332049,27.4,91970,29.7,41717,29.7
FINAL,1982,GRUNTS,WHITE GRUNT,140,114.1,513,114.1,233,114.1
FINAL,1982,HERRINGS,HERRINGS,4834,100.6,390,100.6,177,100.6
FINAL,1982,JACKS,CREVALLE JACK,34705,90.9,25039,97.9,11358,97.9
FINAL,1982,JACKS,FLORIDA POMPANO,318425,37.2,151214,43.8,68590,43.8
FINAL,1982,JACKS,GREATER AMBERJACK,399,101.6,16352,101.6,7417,101.6
FINAL,1982,JACKS,OTHER JACKS,18190,87.9,5028,77.5,2281,77.5
FINAL,1982,MULLETS,MULLETS,793154,46.6,414612,44.1,188067,44.1
FINAL,1982,OTHER FISHES,OTHER FISHES,403002,41,905503,68.2,410733,68.2
FINAL,1982,PORGIES,OTHER PORGIES,18245,53.7,12343,53.8,5599,53.8
FINAL,1982,PORGIES,PINFISHES,726557,31.6,165331,30.7,74994,30.7
FINAL,1982,PORGIES,RED PORGY,14129,71.2,19300,59.6,8755,59.6
FINAL,1982,PORGIES,SCUP,957,97,218,97,99,97
FINAL,1982,PORGIES,SHEEPSHEAD,61765,74.8,183768,69.6,83357,69.6
FINAL,1982,PUFFERS,PUFFERS,90214,36.6,37737,45.4,17118,45.4
FINAL,1982,SEA BASSES,BLACK SEA BASS,476112,16.4,313693,17.5,142290,17.5
FINAL,1982,SEA BASSES,EPINEPHELUS GROUPERS,1103,86.4,3175,65.7,1440,65.7
FINAL,1982,SEA BASSES,MYCTEROPERCA GROUPERS,5282,69.6,1231,69.8,559,69.8
FINAL,1982,SEA BASSES,OTHER SEA BASSES,5689,78.1,5291,90.8,2400,90.8
FINAL,1982,SEAROBINS,SEAROBINS,67718,49.3,22930,58.9,10401,58.9
FINAL,1982,TEMPERATE BASSES,WHITE PERCH,63998,111.1,28218,111.1,12800,111.1
FINAL,1982,TOADFISHES,TOADFISHES,24100,61.7,5313,61.7,2410,61.7
FINAL,1982,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,888,74.2,5110,76.9,2318,76.9
FINAL,1982,TUNAS AND MACKERELS,KING MACKEREL,177616,26.4,1477554,24.8,670214,24.8
FINAL,1982,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,7041,58.8,75053,66.7,34044,66.7
FINAL,1982,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,14941,40.3,107977,44.8,48978,44.8
FINAL,1982,TUNAS AND MACKERELS,SPANISH MACKEREL,889793,55.5,1411461,53.6,640235,53.6
FINAL,1982,WRASSES,OTHER WRASSES,106894,86.1,129461,94.8,58723,94.8
FINAL,1982,WRASSES,TAUTOG,21023,85.9,21745,79.8,9863,79.8
FINAL,1983,BARRACUDAS,BARRACUDAS,3533,73.8,38242,73.9,17346,73.9
FINAL,1983,BLUEFISH,BLUEFISH,8857165,29.7,23116137,45.8,10485411,45.8
FINAL,1983,CARTILAGINOUS FISHES,DOGFISH SHARKS,31275,51.5,121639,68.9,55175,68.9
FINAL,1983,CARTILAGINOUS FISHES,OTHER SHARKS,2152,107.2,7116,107.2,3228,107.2
FINAL,1983,CARTILAGINOUS FISHES,SKATES/RAYS,77069,41.5,234597,47.3,106413,47.3
FINAL,1983,CATFISHES,FRESHWATER CATFISHES,161152,83.6,87452,82.1,39668,82.1
