"","year","maxgusts","meangusts","angle","id","name","direction"
"1",2008,16.9,5.05277862460204,198.396384977238,8656483,"beauf","S"
"2",2009,19.3,5.48856154823411,175.493761060836,8656483,"beauf","S"
"3",2010,25.3,5.42988871601486,197.142910785626,8656483,"beauf","S"
"4",2011,34.7,5.46490733721973,176.361355084926,8656483,"beauf","S"
"5",2012,28,5.21876176179883,178.424974814071,8656483,"beauf","S"
"6",2013,19.8,5.37671644828271,169.914024717093,8656483,"beauf","S"
"7",2014,28.8,5.50678645394845,166.224361278449,8656483,"beauf","S"
"8",2015,18.4,5.43840383376067,160.124643715346,8656483,"beauf","S"
"9",2016,25.9,5.48912161529767,174.151449005378,8656483,"beauf","S"
"10",2017,18.9,5.45092883441752,173.890890784816,8656483,"beauf","S"
"11",2018,32.6,5.68750141873215,170.228896697724,8656483,"beauf","S"
"12",2019,30.2,5.50219826422977,165.906900543456,8656483,"beauf","S"
"13",2020,22.17,5.44803328185634,172.045372861725,8656483,"beauf","S"
"14",2021,19.56,5.25893102596952,180.31590961713,8656483,"beauf","S"
"15",2022,20.8,5.50487872857736,168.303021407816,8656483,"beauf","S"
"16",2023,18.3,5.33876813038855,181.941185323669,8656483,"beauf","S"
