Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1950,NORTH CAROLINA,ALEWIFE,6422500,2913,128459,Public,Commercial,Alosa pseudoharengus,161706,ACCSPHIST
1950,NORTH CAROLINA,"BASS, BLACK SEA",75600,34,6140,Public,Commercial,Centropristis striata,167687,ACCSPHIST
1950,NORTH CAROLINA,"BASS, STRIPED",796800,361,165207,Public,Commercial,Morone saxatilis,167680,ACCSPHIST
1950,NORTH CAROLINA,BLUEFISH,1272200,577,181088,Public,Commercial,Pomatomus saltatrix,168559,ACCSPHIST
1950,NORTH CAROLINA,"BONITO, ATLANTIC",7800,4,235,Public,Commercial,Sarda sarda,172409,ACCSPHIST
1950,NORTH CAROLINA,BOWFIN,26000,12,520,Public,Commercial,Amia calva,161104,ACCSPHIST
1950,NORTH CAROLINA,"CARP, COMMON",795100,361,46992,Public,Commercial,Cyprinus carpio,163344,ACCSPHIST
1950,NORTH CAROLINA,"CATFISHES-BULLHEADS, OTHER **",671300,304,53805,Public,Commercial,Siluridae,164066,ACCSPHIST
1950,NORTH CAROLINA,"CLAMS, QUAHOG, MERCENARIA **",836400,379,157132,Public,Commercial,Mercenaria,81495,ACCSPHIST
1950,NORTH CAROLINA,COBIA,3700,2,370,Public,Commercial,Rachycentron canadum,168566,ACCSPHIST
1950,NORTH CAROLINA,"COD, ATLANTIC",700,0,65,Public,Commercial,Gadus morhua,164712,ACCSPHIST
1950,NORTH CAROLINA,"CRAB, BLUE",6889300,3125,291641,Public,Commercial,Callinectes sapidus,98696,ACCSPHIST
1950,NORTH CAROLINA,"CROAKER, ATLANTIC",2095800,951,103406,Public,Commercial,Micropogonias undulatus,169283,ACCSPHIST
1950,NORTH CAROLINA,"DRUM, BLACK",100000,45,5191,Public,Commercial,Pogonias cromis,169288,ACCSPHIST
1950,NORTH CAROLINA,"DRUM, RED",200900,91,20793,Public,Commercial,Sciaenops ocellatus,169290,ACCSPHIST
1950,NORTH CAROLINA,"EEL, AMERICAN",174600,79,21490,Public,Commercial,Anguilla rostrata,161127,ACCSPHIST
1950,NORTH CAROLINA,FLATFISHES **,1839700,834,277923,Public,Commercial,Pleuronectiformes,172702,ACCSPHIST
1950,NORTH CAROLINA,"HARVESTFISH, NORTHERN",468300,212,28952,Public,Commercial,Peprilus paru,172566,ACCSPHIST
1950,NORTH CAROLINA,HARVESTFISHES **,39900,18,2393,Public,Commercial,Peprilus,172564,ACCSPHIST
1950,NORTH CAROLINA,"HERRING, ATLANTIC THREAD",32000,15,240,Public,Commercial,Opisthonema oglinum,161748,ACCSPHIST
1950,NORTH CAROLINA,HOGFISH,4400,2,132,Public,Commercial,Lachnolaimus maximus,170566,ACCSPHIST
1950,NORTH CAROLINA,KINGFISHES **,1398600,634,126800,Public,Commercial,Menticirrhus,169273,ACCSPHIST
1950,NORTH CAROLINA,"MACKEREL, SPANISH",147500,67,23725,Public,Commercial,Scomberomorus maculatus,172436,ACCSPHIST
1950,NORTH CAROLINA,MACKERELS **,1400,1,140,Public,Commercial,Scomber,172411,ACCSPHIST
1950,NORTH CAROLINA,MENHADENS **,124904900,56656,1221468,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1950,NORTH CAROLINA,"MULLET, STRIPED",3220800,1461,357194,Public,Commercial,Mugil cephalus,170335,ACCSPHIST
1950,NORTH CAROLINA,"OYSTER, EASTERN",1322100,600,555686,Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1950,NORTH CAROLINA,"PERCH, SAND",1000,0,50,Public,Commercial,Diplectrum formosum,167793,ACCSPHIST
1950,NORTH CAROLINA,"PERCH, WHITE",510200,231,50913,Public,Commercial,Morone americana,167678,ACCSPHIST
1950,NORTH CAROLINA,"PERCH, YELLOW",34900,16,3490,Public,Commercial,Perca flavescens,168469,ACCSPHIST
1950,NORTH CAROLINA,PIGFISH,270000,122,9243,Public,Commercial,Orthopristis chrysoptera,169077,ACCSPHIST
1950,NORTH CAROLINA,PIKES **,5500,2,935,Public,Commercial,Esocidae,162137,ACCSPHIST
1950,NORTH CAROLINA,PINFISH,432900,196,2171,Public,Commercial,Lagodon rhomboides,169187,ACCSPHIST
1950,NORTH CAROLINA,"POMPANO, FLORIDA",27900,13,9402,Public,Commercial,Trachinotus carolinus,168708,ACCSPHIST
1950,NORTH CAROLINA,PORGIES **,59400,27,4198,Public,Commercial,Sparidae,169180,ACCSPHIST
1950,NORTH CAROLINA,"PUFFER, NORTHERN",50600,23,5380,Public,Commercial,Sphoeroides maculatus,173290,ACCSPHIST
1950,NORTH CAROLINA,"SCALLOP, BAY",71600,32,38906,Public,Commercial,Argopecten irradians,79737,ACCSPHIST
1950,NORTH CAROLINA,SEAROBINS **,200,0,4,Public,Commercial,Triglidae,166972,ACCSPHIST
1950,NORTH CAROLINA,"SEATROUT, SPOTTED",482000,219,143719,Public,Commercial,Cynoscion nebulosus,169239,ACCSPHIST
1950,NORTH CAROLINA,"SHAD, AMERICAN",1100300,499,339970,Public,Commercial,Alosa sapidissima,161702,ACCSPHIST
1950,NORTH CAROLINA,"SHAD, HICKORY",294900,134,13684,Public,Commercial,Alosa mediocris,161704,ACCSPHIST
1950,NORTH CAROLINA,"SHARKS, CHONDRICHTHYES (CLASS) **",5500,2,550,Public,Commercial,Chondrichthyes,159785,ACCSPHIST
1950,NORTH CAROLINA,SHEEPSHEAD,7200,3,558,Public,Commercial,Archosargus probatocephalus,169189,ACCSPHIST
1950,NORTH CAROLINA,"SHRIMP, MARINE **",8311200,3770,1999358,Public,Commercial,Dendrobranchiata,95600,ACCSPHIST
1950,NORTH CAROLINA,SPOT,5172300,2346,234090,Public,Commercial,Leiostomus xanthurus,169267,ACCSPHIST
1950,NORTH CAROLINA,"SQUIDS, LOLIGINIDAE **",800,0,16,Public,Commercial,Loliginidae,82369,ACCSPHIST
1950,NORTH CAROLINA,STURGEONS **,10800,5,2620,Public,Commercial,Acipenseridae,161064,ACCSPHIST
1950,NORTH CAROLINA,SUCKERS **,1200,1,24,Public,Commercial,Catostomidae,163892,ACCSPHIST
1950,NORTH CAROLINA,SUNFISHES **,12300,6,369,Public,Commercial,Centrarchidae,168093,ACCSPHIST
1950,NORTH CAROLINA,"TERRAPIN, DIAMONDBACK",700,0,175,Public,Commercial,Malaclemys terrapin,173780,ACCSPHIST
1950,NORTH CAROLINA,"TREEFROG, GREEN",5000,2,1250,Public,Commercial,Ranidae ,1094181,ACCSPHIST
1950,NORTH CAROLINA,"TUNA, LITTLE TUNNY",133200,60,3996,Public,Commercial,Euthynnus alletteratus,172402,ACCSPHIST
1950,NORTH CAROLINA,"TURTLES, SNAPPING",21300,10,2652,Public,Commercial,Chelydra serpentina,173752,ACCSPHIST
1950,NORTH CAROLINA,WEAKFISH,1567400,711,155245,Public,Commercial,Cynoscion regalis,169241,ACCSPHIST
1951,NORTH CAROLINA,ALEWIFE,12534500,5686,129267,Public,Commercial,Alosa pseudoharengus,161706,ACCSPHIST
1951,NORTH CAROLINA,"BASS, BLACK SEA",94000,43,9818,Public,Commercial,Centropristis striata,167687,ACCSPHIST
1951,NORTH CAROLINA,"BASS, STRIPED",702200,319,134110,Public,Commercial,Morone saxatilis,167680,ACCSPHIST
1951,NORTH CAROLINA,BLUEFISH,925900,420,104901,Public,Commercial,Pomatomus saltatrix,168559,ACCSPHIST
1951,NORTH CAROLINA,BOWFIN,14200,6,416,Public,Commercial,Amia calva,161104,ACCSPHIST
1951,NORTH CAROLINA,"CARP, COMMON",1290700,585,39156,Public,Commercial,Cyprinus carpio,163344,ACCSPHIST
1951,NORTH CAROLINA,"CATFISHES, BULLHEAD **",529900,240,50834,Public,Commercial,Ictaluridae,163995,ACCSPHIST
1951,NORTH CAROLINA,"CLAMS, QUAHOG, MERCENARIA **",834800,379,192051,Public,Commercial,Mercenaria,81495,ACCSPHIST
1951,NORTH CAROLINA,COBIA,600,0,46,Public,Commercial,Rachycentron canadum,168566,ACCSPHIST
1951,NORTH CAROLINA,"CRAB, BLUE",7989200,3624,236941,Public,Commercial,Callinectes sapidus,98696,ACCSPHIST
1951,NORTH CAROLINA,"CROAKER, ATLANTIC",2102100,954,112531,Public,Commercial,Micropogonias undulatus,169283,ACCSPHIST
1951,NORTH CAROLINA,"DRUM, BLACK",84300,38,2986,Public,Commercial,Pogonias cromis,169288,ACCSPHIST
1951,NORTH CAROLINA,"DRUM, RED",182400,83,21888,Public,Commercial,Sciaenops ocellatus,169290,ACCSPHIST
1951,NORTH CAROLINA,"EEL, AMERICAN",32600,15,1682,Public,Commercial,Anguilla rostrata,161127,ACCSPHIST
1951,NORTH CAROLINA,FLATFISHES **,1478800,671,254846,Public,Commercial,Pleuronectiformes,172702,ACCSPHIST
1951,NORTH CAROLINA,"GROUPERS, SERRANIDAE (FAMILY) **",100,0,15,Public,Commercial,Serranidae,167674,ACCSPHIST
1951,NORTH CAROLINA,"HARVESTFISH, NORTHERN",555700,252,34624,Public,Commercial,Peprilus paru,172566,ACCSPHIST
1951,NORTH CAROLINA,HARVESTFISHES **,24900,11,1602,Public,Commercial,Peprilus,172564,ACCSPHIST
1951,NORTH CAROLINA,HOGFISH,2000,1,60,Public,Commercial,Lachnolaimus maximus,170566,ACCSPHIST
1951,NORTH CAROLINA,KINGFISHES **,1122100,509,100373,Public,Commercial,Menticirrhus,169273,ACCSPHIST
1951,NORTH CAROLINA,"MACKEREL, KING AND CERO **",300,0,36,Public,Commercial,Scomberomorus,172434,ACCSPHIST
1951,NORTH CAROLINA,"MACKEREL, SPANISH",206300,94,31781,Public,Commercial,Scomberomorus maculatus,172436,ACCSPHIST
1951,NORTH CAROLINA,MACKERELS **,5000,2,200,Public,Commercial,Scomber,172411,ACCSPHIST
1951,NORTH CAROLINA,MENHADENS **,104012900,47180,978562,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1951,NORTH CAROLINA,"MULLET, STRIPED",4013000,1820,393356,Public,Commercial,Mugil cephalus,170335,ACCSPHIST
1951,NORTH CAROLINA,"OYSTER, EASTERN",1531900,695,632122,Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1951,NORTH CAROLINA,"PERCH, SAND",300,0,22,Public,Commercial,Diplectrum formosum,167793,ACCSPHIST
1951,NORTH CAROLINA,"PERCH, WHITE",394100,179,42213,Public,Commercial,Morone americana,167678,ACCSPHIST
1951,NORTH CAROLINA,"PERCH, YELLOW",39200,18,3928,Public,Commercial,Perca flavescens,168469,ACCSPHIST
1951,NORTH CAROLINA,PIGFISH,304200,138,10570,Public,Commercial,Orthopristis chrysoptera,169077,ACCSPHIST
1951,NORTH CAROLINA,PIKES **,1600,1,285,Public,Commercial,Esocidae,162137,ACCSPHIST
1951,NORTH CAROLINA,PINFISH,568000,258,2840,Public,Commercial,Lagodon rhomboides,169187,ACCSPHIST
1951,NORTH CAROLINA,"POMPANO, FLORIDA",16000,7,5490,Public,Commercial,Trachinotus carolinus,168708,ACCSPHIST
1951,NORTH CAROLINA,PORGIES **,152800,69,7650,Public,Commercial,Sparidae,169180,ACCSPHIST
1951,NORTH CAROLINA,"PUFFER, NORTHERN",50500,23,2848,Public,Commercial,Sphoeroides maculatus,173290,ACCSPHIST
1951,NORTH CAROLINA,"SCALLOP, BAY",183400,83,95696,Public,Commercial,Argopecten irradians,79737,ACCSPHIST
1951,NORTH CAROLINA,"SEATROUT, SPOTTED",267400,121,80840,Public,Commercial,Cynoscion nebulosus,169239,ACCSPHIST
1951,NORTH CAROLINA,"SHAD, AMERICAN",1244500,565,300116,Public,Commercial,Alosa sapidissima,161702,ACCSPHIST
1951,NORTH CAROLINA,"SHAD, HICKORY",196000,89,14007,Public,Commercial,Alosa mediocris,161704,ACCSPHIST
1951,NORTH CAROLINA,"SHARKS, CHONDRICHTHYES (CLASS) **",6600,3,390,Public,Commercial,Chondrichthyes,159785,ACCSPHIST
1951,NORTH CAROLINA,SHEEPSHEAD,5900,3,570,Public,Commercial,Archosargus probatocephalus,169189,ACCSPHIST
1951,NORTH CAROLINA,"SHRIMP, MARINE **",8199500,3719,1949907,Public,Commercial,Dendrobranchiata,95600,ACCSPHIST
1951,NORTH CAROLINA,"SNAPPER, RED",7500,3,1500,Public,Commercial,Lutjanus campechanus,168853,ACCSPHIST
1951,NORTH CAROLINA,SPOT,4614500,2093,210728,Public,Commercial,Leiostomus xanthurus,169267,ACCSPHIST
1951,NORTH CAROLINA,"SQUIDS, LOLIGINIDAE **",300,0,6,Public,Commercial,Loliginidae,82369,ACCSPHIST
1951,NORTH CAROLINA,STURGEONS **,4300,2,865,Public,Commercial,Acipenseridae,161064,ACCSPHIST
1951,NORTH CAROLINA,SUCKERS **,800,0,76,Public,Commercial,Catostomidae,163892,ACCSPHIST
1951,NORTH CAROLINA,SUNFISHES **,7300,3,292,Public,Commercial,Centrarchidae,168093,ACCSPHIST
1951,NORTH CAROLINA,"TREEFROG, GREEN",300,0,75,Public,Commercial,Ranidae ,1094181,ACCSPHIST
1951,NORTH CAROLINA,"TURTLES, SNAPPING",66500,30,7550,Public,Commercial,Chelydra serpentina,173752,ACCSPHIST
1951,NORTH CAROLINA,WEAKFISH,1262900,573,126403,Public,Commercial,Cynoscion regalis,169241,ACCSPHIST
1952,NORTH CAROLINA,ALEWIFE,6510200,2953,81221,Public,Commercial,Alosa pseudoharengus,161706,ACCSPHIST
1952,NORTH CAROLINA,"BASS, BLACK SEA",109800,50,13002,Public,Commercial,Centropristis striata,167687,ACCSPHIST
1952,NORTH CAROLINA,"BASS, STRIPED",647000,293,121231,Public,Commercial,Morone saxatilis,167680,ACCSPHIST
1952,NORTH CAROLINA,BLUEFISH,736800,334,83089,Public,Commercial,Pomatomus saltatrix,168559,ACCSPHIST
1952,NORTH CAROLINA,BOWFIN,26200,12,1363,Public,Commercial,Amia calva,161104,ACCSPHIST
1952,NORTH CAROLINA,"CARP, COMMON",950100,431,69875,Public,Commercial,Cyprinus carpio,163344,ACCSPHIST
1952,NORTH CAROLINA,"CATFISHES-BULLHEADS, OTHER **",992900,450,85720,Public,Commercial,Siluridae,164066,ACCSPHIST
1952,NORTH CAROLINA,"CLAMS, QUAHOG, MERCENARIA **",724500,329,166740,Public,Commercial,Mercenaria,81495,ACCSPHIST
1952,NORTH CAROLINA,COBIA,1500,1,98,Public,Commercial,Rachycentron canadum,168566,ACCSPHIST
1952,NORTH CAROLINA,"CRAB, BLUE",6285900,2851,215484,Public,Commercial,Callinectes sapidus,98696,ACCSPHIST
1952,NORTH CAROLINA,"CROAKER, ATLANTIC",1346300,611,66325,Public,Commercial,Micropogonias undulatus,169283,ACCSPHIST
1952,NORTH CAROLINA,"DRUM, BLACK",98700,45,5173,Public,Commercial,Pogonias cromis,169288,ACCSPHIST
1952,NORTH CAROLINA,"DRUM, RED",222700,101,26584,Public,Commercial,Sciaenops ocellatus,169290,ACCSPHIST
1952,NORTH CAROLINA,"EEL, AMERICAN",38600,18,1452,Public,Commercial,Anguilla rostrata,161127,ACCSPHIST
1952,NORTH CAROLINA,FLATFISHES **,2156000,978,347640,Public,Commercial,Pleuronectiformes,172702,ACCSPHIST
1952,NORTH CAROLINA,"HARVESTFISH, NORTHERN",380200,172,30404,Public,Commercial,Peprilus paru,172566,ACCSPHIST
1952,NORTH CAROLINA,HARVESTFISHES **,124400,56,11655,Public,Commercial,Peprilus,172564,ACCSPHIST
1952,NORTH CAROLINA,KINGFISHES **,1484500,673,141167,Public,Commercial,Menticirrhus,169273,ACCSPHIST
1952,NORTH CAROLINA,"MACKEREL, SPANISH",174300,79,29079,Public,Commercial,Scomberomorus maculatus,172436,ACCSPHIST
1952,NORTH CAROLINA,MENHADENS **,191341300,86792,1626501,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1952,NORTH CAROLINA,"MULLET, STRIPED",3850400,1747,361647,Public,Commercial,Mugil cephalus,170335,ACCSPHIST
1952,NORTH CAROLINA,"OYSTER, EASTERN",1620900,735,600238,Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1952,NORTH CAROLINA,"PERCH, SAND",1500,1,75,Public,Commercial,Diplectrum formosum,167793,ACCSPHIST
1952,NORTH CAROLINA,"PERCH, WHITE",458100,208,41724,Public,Commercial,Morone americana,167678,ACCSPHIST
1952,NORTH CAROLINA,"PERCH, YELLOW",45800,21,3784,Public,Commercial,Perca flavescens,168469,ACCSPHIST
1952,NORTH CAROLINA,PIGFISH,250700,114,10066,Public,Commercial,Orthopristis chrysoptera,169077,ACCSPHIST
1952,NORTH CAROLINA,PIKES **,2400,1,360,Public,Commercial,Esocidae,162137,ACCSPHIST
1952,NORTH CAROLINA,PINFISH,528000,239,3961,Public,Commercial,Lagodon rhomboides,169187,ACCSPHIST
1952,NORTH CAROLINA,"POMPANO, FLORIDA",26900,12,9843,Public,Commercial,Trachinotus carolinus,168708,ACCSPHIST
1952,NORTH CAROLINA,PORGIES **,104500,47,7423,Public,Commercial,Sparidae,169180,ACCSPHIST
1952,NORTH CAROLINA,"PUFFER, NORTHERN",165800,75,6607,Public,Commercial,Sphoeroides maculatus,173290,ACCSPHIST
1952,NORTH CAROLINA,"SCALLOP, BAY",253800,115,126900,Public,Commercial,Argopecten irradians,79737,ACCSPHIST
1952,NORTH CAROLINA,"SEATROUT, SPOTTED",643400,292,191230,Public,Commercial,Cynoscion nebulosus,169239,ACCSPHIST
1952,NORTH CAROLINA,"SHAD, AMERICAN",1479200,671,377091,Public,Commercial,Alosa sapidissima,161702,ACCSPHIST
1952,NORTH CAROLINA,"SHAD, HICKORY",453000,205,19799,Public,Commercial,Alosa mediocris,161704,ACCSPHIST
1952,NORTH CAROLINA,SHEEPSHEAD,12500,6,1166,Public,Commercial,Archosargus probatocephalus,169189,ACCSPHIST
1952,NORTH CAROLINA,"SHRIMP, MARINE **",8712600,3952,1905065,Public,Commercial,Dendrobranchiata,95600,ACCSPHIST
1952,NORTH CAROLINA,"SNAPPER, RED",5000,2,1000,Public,Commercial,Lutjanus campechanus,168853,ACCSPHIST
1952,NORTH CAROLINA,SPOT,5548000,2517,249355,Public,Commercial,Leiostomus xanthurus,169267,ACCSPHIST
1952,NORTH CAROLINA,STURGEONS **,14600,7,3610,Public,Commercial,Acipenseridae,161064,ACCSPHIST
1952,NORTH CAROLINA,SUCKERS **,1000,0,80,Public,Commercial,Catostomidae,163892,ACCSPHIST
1952,NORTH CAROLINA,SUNFISHES **,8000,4,240,Public,Commercial,Centrarchidae,168093,ACCSPHIST
1952,NORTH CAROLINA,"TURTLES, SNAPPING",28200,13,2940,Public,Commercial,Chelydra serpentina,173752,ACCSPHIST
1952,NORTH CAROLINA,WEAKFISH,1625600,737,167994,Public,Commercial,Cynoscion regalis,169241,ACCSPHIST
1953,NORTH CAROLINA,ALEWIFE,13841500,6278,138415,Public,Commercial,Alosa pseudoharengus,161706,ACCSPHIST
1953,NORTH CAROLINA,"BASS, BLACK SEA",82300,37,9556,Public,Commercial,Centropristis striata,167687,ACCSPHIST
1953,NORTH CAROLINA,"BASS, STRIPED",757000,343,137319,Public,Commercial,Morone saxatilis,167680,ACCSPHIST
1953,NORTH CAROLINA,BLUEFISH,541700,246,66984,Public,Commercial,Pomatomus saltatrix,168559,ACCSPHIST
1953,NORTH CAROLINA,BOWFIN,17300,8,1028,Public,Commercial,Amia calva,161104,ACCSPHIST
1953,NORTH CAROLINA,"CARP, COMMON",390500,177,21712,Public,Commercial,Cyprinus carpio,163344,ACCSPHIST
1953,NORTH CAROLINA,"CATFISHES-BULLHEADS, OTHER **",942800,428,80341,Public,Commercial,Siluridae,164066,ACCSPHIST
1953,NORTH CAROLINA,"CLAMS, QUAHOG, MERCENARIA **",444800,202,115887,Public,Commercial,Mercenaria,81495,ACCSPHIST
1953,NORTH CAROLINA,COBIA,10000,5,600,Public,Commercial,Rachycentron canadum,168566,ACCSPHIST
1953,NORTH CAROLINA,"CRAB, BLUE",10654700,4833,388009,Public,Commercial,Callinectes sapidus,98696,ACCSPHIST
1953,NORTH CAROLINA,"CROAKER, ATLANTIC",1433900,650,69118,Public,Commercial,Micropogonias undulatus,169283,ACCSPHIST
1953,NORTH CAROLINA,"DRUM, BLACK",102400,46,5378,Public,Commercial,Pogonias cromis,169288,ACCSPHIST
1953,NORTH CAROLINA,"DRUM, RED",285100,129,28276,Public,Commercial,Sciaenops ocellatus,169290,ACCSPHIST
1953,NORTH CAROLINA,"EEL, AMERICAN",52400,24,2440,Public,Commercial,Anguilla rostrata,161127,ACCSPHIST
1953,NORTH CAROLINA,FLATFISHES **,1843500,836,275043,Public,Commercial,Pleuronectiformes,172702,ACCSPHIST
1953,NORTH CAROLINA,"HARVESTFISH, NORTHERN",607200,275,48006,Public,Commercial,Peprilus paru,172566,ACCSPHIST
1953,NORTH CAROLINA,HARVESTFISHES **,11500,5,1150,Public,Commercial,Peprilus,172564,ACCSPHIST
1953,NORTH CAROLINA,KINGFISHES **,1490200,676,132416,Public,Commercial,Menticirrhus,169273,ACCSPHIST
1953,NORTH CAROLINA,"MACKEREL, SPANISH",107400,49,16455,Public,Commercial,Scomberomorus maculatus,172436,ACCSPHIST
1953,NORTH CAROLINA,MENHADENS **,132104700,59922,1387098,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1953,NORTH CAROLINA,"MULLET, STRIPED",2505800,1137,243842,Public,Commercial,Mugil cephalus,170335,ACCSPHIST
1953,NORTH CAROLINA,"OYSTER, EASTERN",1525300,692,536015,Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1953,NORTH CAROLINA,"PERCH, SAND",500,0,25,Public,Commercial,Diplectrum formosum,167793,ACCSPHIST
1953,NORTH CAROLINA,"PERCH, WHITE",696500,316,47303,Public,Commercial,Morone americana,167678,ACCSPHIST
1953,NORTH CAROLINA,"PERCH, YELLOW",58600,27,3926,Public,Commercial,Perca flavescens,168469,ACCSPHIST
1953,NORTH CAROLINA,PIGFISH,136100,62,5692,Public,Commercial,Orthopristis chrysoptera,169077,ACCSPHIST
1953,NORTH CAROLINA,PIKES **,2200,1,330,Public,Commercial,Esocidae,162137,ACCSPHIST
1953,NORTH CAROLINA,"POMPANO, FLORIDA",18800,9,5004,Public,Commercial,Trachinotus carolinus,168708,ACCSPHIST
1953,NORTH CAROLINA,PORGIES **,44900,20,2310,Public,Commercial,Sparidae,169180,ACCSPHIST
1953,NORTH CAROLINA,"PUFFER, NORTHERN",203300,92,8102,Public,Commercial,Sphoeroides maculatus,173290,ACCSPHIST
1953,NORTH CAROLINA,"SCALLOP, BAY",65300,30,32650,Public,Commercial,Argopecten irradians,79737,ACCSPHIST
1953,NORTH CAROLINA,"SEATROUT, SPOTTED",631700,287,155160,Public,Commercial,Cynoscion nebulosus,169239,ACCSPHIST
1953,NORTH CAROLINA,"SHAD, AMERICAN",1187800,539,292640,Public,Commercial,Alosa sapidissima,161702,ACCSPHIST
1953,NORTH CAROLINA,"SHAD, HICKORY",438700,199,16494,Public,Commercial,Alosa mediocris,161704,ACCSPHIST
1953,NORTH CAROLINA,SHEEPSHEAD,23800,11,2288,Public,Commercial,Archosargus probatocephalus,169189,ACCSPHIST
1953,NORTH CAROLINA,"SHRIMP, MARINE **",14645100,6643,3622950,Public,Commercial,Dendrobranchiata,95600,ACCSPHIST
1953,NORTH CAROLINA,SPOT,2814700,1277,175546,Public,Commercial,Leiostomus xanthurus,169267,ACCSPHIST
1953,NORTH CAROLINA,STURGEONS **,14900,7,3725,Public,Commercial,Acipenseridae,161064,ACCSPHIST
1953,NORTH CAROLINA,SUCKERS **,700,0,44,Public,Commercial,Catostomidae,163892,ACCSPHIST
1953,NORTH CAROLINA,SUNFISHES **,5900,3,177,Public,Commercial,Centrarchidae,168093,ACCSPHIST
1953,NORTH CAROLINA,"TURTLES, SNAPPING",9000,4,900,Public,Commercial,Chelydra serpentina,173752,ACCSPHIST
1953,NORTH CAROLINA,WEAKFISH,1897100,861,185038,Public,Commercial,Cynoscion regalis,169241,ACCSPHIST
1954,NORTH CAROLINA,ALEWIFE,12758000,5787,127580,Public,Commercial,Alosa pseudoharengus,161706,ACCSPHIST
1954,NORTH CAROLINA,"BASS, BLACK SEA",41400,19,4700,Public,Commercial,Centropristis striata,167687,ACCSPHIST
1954,NORTH CAROLINA,"BASS, STRIPED",1121700,509,188303,Public,Commercial,Morone saxatilis,167680,ACCSPHIST
1954,NORTH CAROLINA,BLUEFISH,323100,147,39282,Public,Commercial,Pomatomus saltatrix,168559,ACCSPHIST
1954,NORTH CAROLINA,BOWFIN,16400,7,956,Public,Commercial,Amia calva,161104,ACCSPHIST
1954,NORTH CAROLINA,"CARP, COMMON",351400,159,15979,Public,Commercial,Cyprinus carpio,163344,ACCSPHIST
1954,NORTH CAROLINA,"CATFISHES-BULLHEADS, OTHER **",930200,422,75456,Public,Commercial,Siluridae,164066,ACCSPHIST
1954,NORTH CAROLINA,"CLAMS, QUAHOG, MERCENARIA **",244000,111,72264,Public,Commercial,Mercenaria,81495,ACCSPHIST
1954,NORTH CAROLINA,"CRAB, BLUE",9822300,4455,362875,Public,Commercial,Callinectes sapidus,98696,ACCSPHIST
1954,NORTH CAROLINA,"CROAKER, ATLANTIC",1015500,461,50593,Public,Commercial,Micropogonias undulatus,169283,ACCSPHIST
1954,NORTH CAROLINA,"DRUM, BLACK",50900,23,2728,Public,Commercial,Pogonias cromis,169288,ACCSPHIST
1954,NORTH CAROLINA,"DRUM, RED",267400,121,24714,Public,Commercial,Sciaenops ocellatus,169290,ACCSPHIST
1954,NORTH CAROLINA,"EEL, AMERICAN",37000,17,2258,Public,Commercial,Anguilla rostrata,161127,ACCSPHIST
1954,NORTH CAROLINA,FLATFISHES **,1645100,746,242845,Public,Commercial,Pleuronectiformes,172702,ACCSPHIST
1954,NORTH CAROLINA,"HARVESTFISH, NORTHERN",733300,333,58714,Public,Commercial,Peprilus paru,172566,ACCSPHIST
1954,NORTH CAROLINA,HARVESTFISHES **,15700,7,1570,Public,Commercial,Peprilus,172564,ACCSPHIST
1954,NORTH CAROLINA,KINGFISHES **,1879400,852,136770,Public,Commercial,Menticirrhus,169273,ACCSPHIST
1954,NORTH CAROLINA,"MACKEREL, SPANISH",329500,149,42227,Public,Commercial,Scomberomorus maculatus,172436,ACCSPHIST
1954,NORTH CAROLINA,MENHADENS **,160301000,72712,2067883,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1954,NORTH CAROLINA,"MULLET, STRIPED",1781100,808,184273,Public,Commercial,Mugil cephalus,170335,ACCSPHIST
1954,NORTH CAROLINA,"OYSTER, EASTERN",1008400,457,395870,Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1954,NORTH CAROLINA,"PERCH, SAND",300,0,15,Public,Commercial,Diplectrum formosum,167793,ACCSPHIST
1954,NORTH CAROLINA,"PERCH, WHITE",1504600,682,103352,Public,Commercial,Morone americana,167678,ACCSPHIST
1954,NORTH CAROLINA,"PERCH, YELLOW",28200,13,1872,Public,Commercial,Perca flavescens,168469,ACCSPHIST
1954,NORTH CAROLINA,PIGFISH,302500,137,9179,Public,Commercial,Orthopristis chrysoptera,169077,ACCSPHIST
1954,NORTH CAROLINA,PIKES **,2200,1,330,Public,Commercial,Esocidae,162137,ACCSPHIST
1954,NORTH CAROLINA,"POMPANO, FLORIDA",1800,1,540,Public,Commercial,Trachinotus carolinus,168708,ACCSPHIST
1954,NORTH CAROLINA,PORGIES **,41100,19,2109,Public,Commercial,Sparidae,169180,ACCSPHIST
1954,NORTH CAROLINA,"PUFFER, NORTHERN",242900,110,9716,Public,Commercial,Sphoeroides maculatus,173290,ACCSPHIST
1954,NORTH CAROLINA,"SCALLOP, BAY",51700,23,25850,Public,Commercial,Argopecten irradians,79737,ACCSPHIST
