Year,Month,Monthly_MSL
1963,3,-0.124
1963,4,-0.151
1963,5,-0.147
1963,6,-0.167
1963,7,-0.141
1963,8,-0.155
1963,9,-0.097
1963,10,-0.165
1963,11,-0.069
1963,12,-0.111
1964,1,-0.059
1964,2,-0.076
1964,3,-0.112
1964,4,-0.118
1964,5,-0.092
1964,6,-0.109
1964,7,-0.144
1964,8,-0.112
1964,9,0.004
1964,10,0.039
1964,11,-0.094
1964,12,-0.093
1965,1,-0.095
1965,2,-0.07
1965,3,-0.075
1965,4,-0.105
1965,5,-0.159
1965,6,-0.1
1965,7,0.009
1965,8,-0.085
1965,9,-0.13
1965,10,-0.159
1965,11,-0.124
1965,12,-0.163
1966,1,-0.062
1966,2,-0.089
1966,3,-0.005
1966,4,-0.148
1966,5,-0.037
1966,6,-0.03
1966,7,-0.089
1966,8,-0.094
1966,9,-0.084
1966,10,-0.183
1966,11,-0.167
1966,12,-0.078
1967,1,-0.068
1967,2,-0.092
1967,3,-0.194
1967,4,-0.102
1967,5,-0.058
1967,6,-0.079
1967,7,-0.116
1967,8,-0.051
1967,9,-0.039
1967,10,-0.107
1967,11,-0.085
1967,12,-0.029
1968,1,-0.104
1968,2,-0.086
1968,3,-0.157
1968,4,-0.172
1968,5,-0.162
1968,6,-0.121
1968,7,-0.095
1968,8,-0.091
1968,9,-0.139
1968,10,-0.137
1968,11,-0.133
1968,12,-0.166
1969,1,-0.187
1969,2,-0.022
1969,3,-0.035
1969,4,-0.13
1969,5,-0.113
1969,6,-0.021
1969,7,-0.046
1969,8,0.025
1969,9,-0.084
1969,10,-0.064
1969,11,-0.015
1969,12,-0.035
1970,1,-0.092
1970,2,-0.083
1970,3,-0.054
1970,4,-0.023
1970,5,-0.092
1970,6,-0.063
1970,7,-0.077
1970,8,-0.021
1970,9,-0.136
1970,10,-0.052
1970,11,-0.005
1970,12,0.014
1971,1,-0.043
1971,2,-0.079
1971,3,-0.026
1971,4,-0.075
1971,5,-0.04
1971,6,-0.036
1971,7,-0.116
1971,8,-0.097
1971,9,-0.054
1971,10,0.064
1971,11,0.071
1971,12,0.002
1972,1,-0.025
1972,2,0.006
1972,3,-0.06
1972,4,-0.032
1972,5,0.039
1972,6,0.016
1972,7,-0.034
1972,8,-0.033
1972,9,-0.054
1972,10,-0.046
1972,11,0.104
1972,12,0.096
1973,1,0.1
1973,2,0.192
1973,3,0.13
1973,4,0.148
1973,5,0.018
1973,6,-0.06
1973,7,-0.019
1973,8,-0.002
1973,9,-0.045
1973,10,0.012
1973,11,-0.06
1973,12,-0.056
1974,1,-0.037
1974,2,0.113
1974,3,-0.096
1974,4,-0.023
1974,5,0.036
1974,6,0.046
1974,7,-0.007
1974,8,0.117
1974,9,0.007
1974,10,-0.076
1974,11,-0.085
1974,12,-0.008
1975,1,0.005
1975,2,0.109
1975,3,0.045
1975,4,-0.011
1975,5,0.042
1975,6,0.052
1975,7,0.106
1975,8,0.056
1975,9,-0.048
1975,10,0.003
1975,11,-0.039
1975,12,0.02
1976,1,-0.071
1976,2,-0.147
1976,3,-0.118
1976,4,-0.099
1976,5,-0.068
1976,6,0.022
1976,7,-0.022
1976,8,-0.048
1976,9,-0.127
1976,10,-0.153
1976,11,-0.164
1976,12,-0.02
1977,1,-0.129
1977,2,-0.198
1977,3,0.005
1977,4,-0.081
1977,5,-0.049
1977,6,0.022
1977,7,-0.098
1977,8,-0.063
1977,9,-0.051
1977,10,-0.122
1977,11,0.083
1977,12,0.023
1978,1,0.002
1978,2,0.012
1978,3,-0.02
1978,4,-0.008
1978,5,0.079
1978,6,-0.073
1978,7,-0.025
1978,8,-0.063
1978,9,-0.057
1978,10,-0.092
1978,11,0.007
1978,12,-0.059
1979,1,-0.049
1979,2,-0.104
1979,3,0.017
1979,4,-0.038
1979,5,-0.065
1979,6,-0.042
1979,7,-0.049
1979,8,-0.1
1979,9,0.028
1979,10,-0.086
1979,11,-0.073
1979,12,-0.029
1980,1,0.073
1980,2,-0.009
1980,3,-0.038
1980,4,0.014
1980,5,-0.007
1980,6,-0.048
1980,7,-0.098
1980,8,-0.17
1980,9,-0.17
1980,10,-0.177
1980,11,-0.161
1980,12,-0.136
1981,1,-0.12
1981,2,-0.156
1981,3,-0.13
1981,4,-0.152
1981,5,-0.052
1981,6,-0.13
1981,7,-0.037
1981,8,0.028
1981,9,-0.078
1981,10,-0.174
1981,11,-0.024
1981,12,-0.12
1982,1,-0.086
1982,2,-0.07
1982,3,-0.032
1982,4,-0.175
1982,5,-0.086
1982,6,0.101
1982,7,-0.046
1982,8,-0.091
1982,9,-0.145
1982,10,-0.052
1982,11,-0.012
1982,12,0.066
1983,1,0.088
1983,2,0.146
1983,3,0.231
1983,4,0.108
1983,5,-0.062
1983,6,-0.015
1983,7,-0.01
1983,8,-0.106
1983,9,-0.081
1983,10,-0.055
1983,11,-0.042
1983,12,-0.038
1984,1,0.053
1984,2,-0.015
1984,3,0.091
1984,4,0.145
1984,5,-0.065
1984,6,-0.045
1984,7,-0.043
1984,8,-0.021
1984,9,-0.008
1984,10,0.039
1984,11,0.025
1984,12,-0.014
1985,1,-0.016
1985,2,0.003
1985,3,-0.099
1985,4,-0.136
1985,5,-0.007
1985,6,-0.063
1985,7,-0.01
1985,8,0.077
1985,9,-0.039
1985,10,0.027
1985,11,-0.005
1985,12,-0.035
1986,1,-0.104
1986,2,-0.034
1986,3,-0.145
1986,4,0.032
1986,5,0.021
1986,6,0.04
1986,7,0.002
1986,8,-0.033
1986,9,-0.097
1986,10,-0.107
1986,11,-0.012
1986,12,0.02
1987,1,0.115
1987,2,0.027
1987,3,0.152
1987,4,0.017
1987,5,-0.049
1987,6,-0.097
1987,7,-0.028
1987,8,-0.063
1987,9,-0.078
1987,10,-0.134
1987,11,-0.091
1987,12,-0.084
1988,1,-0.062
1988,2,-0.076
1988,3,-0.139
1988,4,-0.017
1988,5,-0.083
1988,6,-0.048
1988,7,-0.083
1988,8,-0.06
1988,9,-0.063
1988,10,-0.046
1988,11,-0.079
1988,12,-0.111
1989,1,-0.083
1989,2,-0.083
1989,3,0.069
1989,4,0.017
1989,5,0.033
1989,6,-0.051
1989,7,0.005
1989,8,-0.027
1989,9,-0.051
1989,10,-0.025
1989,11,-0.082
1989,12,-0.047
1990,1,-0.107
1990,2,-0.079
1990,3,-0.026
1990,4,-0.035
1990,5,0.006
1990,6,-0.015
1990,7,-0.016
1990,8,-0.021
1990,9,-0.024
1990,10,-0.034
1990,11,0.013
1990,12,-0.032
1991,1,0.118
1991,2,-0.079
1991,3,0.066
1991,4,-0.023
1991,5,0.006
1991,6,0.037
1991,7,0.054
1991,8,0.074
1991,9,0.004
1991,10,0.003
1991,11,0.013
1991,12,-0.139
1992,1,0.015
1992,2,-0.028
1992,3,-0.084
1992,4,-0.029
1992,5,0.024
1992,6,0.086
1992,7,0.018
1992,8,0.05
1992,9,-0.048
1992,10,0.009
1992,11,0.046
1992,12,0.005
1993,1,0.179
1993,2,0.058
1993,3,0.021
1993,4,0.111
1993,5,-0.016
1993,6,-0.033
1993,7,-0.031
1993,8,-0.033
1993,9,-0.051
1993,10,0.003
1993,11,-0.048
1993,12,-0.005
1994,1,-0.093
1994,2,-0.03
1994,3,0.046
1994,4,-0.084
1994,5,0.019
1994,6,-0.046
1994,7,-0.057
1994,8,-0.034
1994,9,-0.001
1994,10,0.012
1994,11,-0.095
1994,12,0.126
1995,1,0.041
1995,2,-0.04
1995,3,0.062
1995,4,-0.004
1995,5,0.044
1995,6,0.097
1995,7,0.126
1995,8,0.138
1995,9,0.074
1995,10,0.086
1995,11,0.045
1995,12,0.022
1996,1,0.002
1996,2,-0.056
1996,3,-0.1
1996,4,-0.071
1996,5,-0.043
1996,6,-0.05
1996,7,-0.01
1996,8,0.008
1996,9,0.239
1996,10,0.14
1996,11,0.038
1996,12,0.081
1997,1,0.02
1997,2,0.042
1997,3,0.019
1997,4,0.072
1997,5,-0.004
1997,6,0.025
1997,7,0.028
1997,8,0.011
1997,9,-0.015
1997,10,-0.051
1997,11,-0.043
1997,12,-0.008
1998,1,0.107
1998,2,0.391
1998,3,0.157
