Year,Chlorophyll a (ug/L)
1989,35.5
1990,18.5
1991,19
1992,12
1993,9
1994,7
1996,28.5
2001,12
2002,15
2003,34
2004,22
2005,29
2006,24
2007,16.5
2008,14
2009,17
2010,17.5
2011,18
2012,17
2013,20
2014,36
2015,26.5
2016,22.5
2017,17
2018,16
2019,20.5
