Year,Annual Average Flow (m3/s),Winter Average Flow (m3/s),Spring Average Flow (m3/s),Summer Average Flow (m3/s),Autumn Average Flow (m3/s)
1974,124.5632123,171.6202408,129.2846407,135.8771793,62.54508703
1975,160.6952529,357.7182063,93.55242245,115.8257711,79.2379061
1976,77.09382678,168.4049601,56.21674953,21.87442851,62.64475657
1977,88.93810969,181.920849,58.30646376,26.75457835,90.45895889
1978,140.3004175,261.4748199,215.3414855,47.23438272,40.60087194
1979,161.4437327,276.9864889,171.2568815,77.51334874,122.6366754
1980,94.58740742,206.5938983,114.3603555,20.91568069,37.91208037
1981,52.79938517,72.86105709,36.53109605,69.1740258,32.89065582
1982,129.0265488,251.403218,130.7424948,68.06531648,68.57417977
1983,147.154856,285.7588308,221.2094179,20.36201183,65.10723427
1984,170.3809331,281.4325692,203.822866,148.6677988,49.17108074
1985,78.26475336,169.4984277,36.53479384,31.21730484,77.33824125
1986,43.84378707,75.70260416,24.97734756,44.60456991,30.57813963
1987,123.0861891,310.4073822,139.809941,24.12750874,22.25390428
1988,56.63243531,82.25567045,54.16678656,40.23008297,50.12891416
1989,203.6499259,207.7130296,297.9801846,151.6780017,158.3421449
1990,102.3028818,177.5837508,150.3925571,36.98990853,46.40456522
1991,88.52854892,145.1817017,84.24693099,90.21069944,35.65991454
1992,101.1448856,128.1452588,67.68359992,85.35386678,123.3265897
1993,119.3199356,275.7853744,144.4816379,21.67097463,39.0166749
1994,79.59035197,186.7346541,72.05300241,30.84057227,30.98047538
1995,148.3119746,198.2648856,112.7980388,109.9763578,172.9085281
1996,177.6967526,186.3623584,93.86581025,233.2937056,196.4481217
1997,89.19767816,176.8166814,92.15733209,35.28709966,54.46653061
1998,162.631174,405.5192642,162.2138324,51.1642323,36.90300665
1999,196.6715144,159.7699398,51.78404383,276.4222828,296.3327193
2000,104.1220499,184.7471962,73.55191933,102.5894721,56.14368818
2001,69.72228219,77.50006219,112.3796057,65.05087532,24.59133432
2002,73.81713092,97.48263141,50.62211961,28.25467242,119.1714479
2003,184.0579498,216.686801,230.3279837,158.2357687,132.1935038
2004,101.7254079,121.634858,95.74205814,120.9400197,68.73606664
2005,82.64872861,125.1698999,91.91337157,39.60018627,74.93653262
2006,113.8548243,75.26303133,86.11028511,108.1534246,184.752033
2007,64.53696335,160.4212273,54.75046687,21.43431374,23.51991104
2008,74.97705181,91.7963701,77.80722564,50.26794256,80.2502504
2009,96.64066425,137.1825354,94.34986506,27.48703965,128.3996619
2010,107.8511098,250.8526493,78.59449621,28.46520202,76.28281399
2011,56.24935943,60.89695127,59.06209569,67.23496599,37.93503259
2012,65.52386723,83.72762475,78.11684391,61.82583275,38.75991463
2013,118.8286589,125.2233873,122.3225528,162.5383904,65.40729823
2014,167.5113691,251.0886231,174.5624668,142.3629451,103.9249807
2015,159.7890801,291.3111302,131.3213977,30.75026712,188.3232691
2016,176.808145,299.3961949,93.63167515,92.01497669,222.6181202
2017,91.22112142,85.23370757,193.595986,51.83891195,36.24617894
2018,178.2694433,109.9709899,119.3897366,239.4309399,242.1613611
2019,127.9552949,252.6617812,132.1512991,69.789638,59.97508061
2020,183.0225136,189.8037759,159.990182,147.6384967,235.6244786
