Year,Month,Monthly_MSL
1987,9,-0.081
1987,10,-0.097
1987,11,-0.077
1987,12,-0.035
1988,1,-0.03
1988,2,-0.04
1988,3,-0.09
1988,4,0.032
1988,5,-0.043
1988,6,-0.014
1988,7,-0.089
1988,8,-0.07
1988,9,-0.06
1988,10,-0.048
1988,11,-0.095
1988,12,-0.087
1989,1,-0.048
1989,2,-0.037
1989,3,0.035
1989,4,-0.047
1989,5,-0.043
1989,6,-0.078
1989,7,-0.035
1989,8,-0.024
1989,9,-0.042
1989,10,-0.081
1989,11,-0.092
1989,12,-0.072
1990,1,-0.142
1990,2,-0.089
1990,3,-0.008
1990,4,-0.062
1990,5,-0.009
1990,6,-0.029
1990,7,-0.01
1990,8,-0.006
1990,9,-0.008
1990,10,-0.045
1990,11,-0.019
1990,12,-0.047
1991,1,0.071
1991,2,-0.058
1991,3,0.059
1991,4,-0.05
1991,5,0.006
1991,6,0.05
1991,7,0.067
1991,8,0.025
1991,9,0.007
1991,10,-0.014
1991,11,0.036
1991,12,-0.102
1992,1,0.044
1992,2,0.046
1992,3,-0.042
1992,4,-0.005
1992,5,0.061
1992,6,0.08
1992,7,0.046
1992,8,0.074
1992,9,-0.033
1992,10,0.022
1992,11,0.006
1992,12,-0.014
1993,1,0.086
1993,2,0.106
1993,3,-0.029
1993,4,0.069
1993,5,0
1993,6,-0.02
1993,7,-0.001
1993,8,-0.018
1993,9,-0.039
1993,10,0.031
1993,11,-0.04
1993,12,0.041
1994,1,-0.081
1994,2,-0.012
1994,3,0.001
1994,4,-0.099
1994,5,0.056
1994,6,-0.051
1994,7,-0.061
1994,8,-0.051
1994,9,-0.014
1994,10,0.005
1994,11,-0.064
1994,12,0.152
1995,1,0.011
1995,2,-0.082
1995,3,0.036
1995,4,0.005
1995,5,0.052
1995,6,0.013
1995,7,0.033
1995,8,0.146
1995,9,0.061
1995,10,0.016
1995,11,-0.025
1995,12,0.012
1996,1,0.021
1996,2,-0.034
1996,3,-0.059
1996,4,-0.056
1996,5,-0.056
1996,6,-0.05
1996,7,-0.031
1996,8,-0.006
1996,9,0.059
1996,10,0.038
1996,11,0.054
1996,12,0.08
1997,1,0.025
1997,2,0.058
1997,3,0.039
1997,4,0.122
1997,5,-0.037
1997,6,0.076
1997,7,0.043
1997,8,0.041
1997,9,0.018
1997,10,-0.004
1997,11,-0.004
1997,12,0.025
1998,1,0.064
1998,2,0.266
1998,3,0.057
1998,4,0.032
1998,5,0.098
1998,6,-0.002
1998,7,-0.006
1998,8,0.026
1998,9,-0.013
1998,10,-0.088
1998,11,-0.062
1998,12,0.022
1999,1,0.004
1999,2,0.15
1999,3,0.029
1999,4,0.045
1999,5,0.08
1999,6,0.017
1999,7,0.025
1999,8,0.075
1999,9,0.133
1999,10,0.031
1999,11,-0.029
1999,12,0.03
2000,1,-0.026
2000,2,-0.08
2000,3,0.029
2000,4,0.035
2000,5,0.034
2000,6,-0.011
2000,7,0.07
2000,8,0.067
2000,9,0.06
2000,10,0.025
2000,11,0.076
2000,12,-0.044
2001,1,-0.042
2001,2,-0.084
2001,3,0.045
2001,4,-0.046
2001,5,0.025
2001,6,-0.029
2001,7,0.027
2001,8,-0.037
2001,9,0.017
2001,10,-0.026
2001,11,-0.039
2001,12,0.054
2002,1,-0.109
2002,2,0.009
2002,3,-0.063
2002,4,0.031
2002,5,-0.004
2002,6,0.039
2002,7,0.018
2002,8,0.095
2002,9,0.059
2002,10,0.078
2002,11,-0.012
2002,12,-0.034
2003,1,-0.042
2003,2,-0.086
2003,3,0.085
2003,4,0.114
2003,5,0.037
2003,6,0.014
2003,7,-0.085
2003,8,-0.096
2003,9,0.069
2003,10,0.001
2003,11,0.014
2003,12,0.019
2004,1,-0.022
2004,2,-0.014
2004,3,-0.025
2004,4,-0.06
2004,5,-0.082
2004,6,-0.008
2004,7,0.022
2004,8,-0.028
2004,9,-0.01
2004,10,0.091
2004,11,0.012
2004,12,-0.001
2005,1,0.101
2005,2,0.144
2005,3,0.055
2005,4,0.096
2005,5,0.114
2005,6,0.059
2005,7,0.049
2005,8,0.071
2005,9,0.094
2005,10,0.078
2005,11,-0.067
2005,12,-0.024
2006,1,0.03
2006,2,-0.004
2006,3,0.023
2006,4,-0.01
2006,5,0.085
2006,6,-0.017
2006,7,-0.043
2006,8,0.02
2006,9,0.06
2006,10,0.022
2006,11,0.072
2006,12,0.017
2007,1,0.033
2007,2,-0.029
2007,3,-0.052
2007,4,0.024
2007,5,0.039
2007,6,0.096
2007,7,0.063
2007,8,0.027
2007,9,0.025
2007,10,0.052
2007,11,-0.014
2007,12,-0.003
2008,1,-0.037
2008,2,-0.055
2008,3,-0.048
2008,4,0.087
2008,5,0.088
2008,6,-0.048
2008,7,0.035
2008,8,0.086
2008,9,0.098
2008,10,0.042
2008,11,0.07
2008,12,-0.081
2009,1,-0.059
2009,2,-0.08
2009,3,0.025
2009,4,0.017
2009,5,-0.021
2009,6,0.146
2009,7,0.071
2009,8,-0.02
2009,9,0.207
2009,10,0.076
2009,11,0.242
2009,12,0.156
2010,1,0.085
2010,2,0.112
2010,3,0.154
2010,4,0.02
2010,5,-0.022
2010,6,-0.001
2010,7,0.009
2010,8,0.075
2010,9,0.065
2010,10,0.038
2010,11,0.062
2010,12,0.049
2011,1,0.012
2011,2,0.005
2011,3,0.068
2011,4,-0.02
2011,5,0.065
2011,6,0.055
2011,7,0.097
2011,8,0.141
2011,9,0.074
2011,10,0.037
2011,11,0.032
2011,12,0.036
2012,1,0.01
2012,2,0.055
2012,3,0.012
2012,4,0.132
2012,5,0.087
2012,6,0.185
2012,7,0.102
2012,8,0.127
2012,9,0.017
2012,10,0.047
2012,11,0.152
2012,12,0.12
2013,1,0.062
2013,2,0.065
2013,3,0.122
2013,4,0.022
2013,5,0.068
2013,6,0.009
2013,7,0.044
2013,8,0.085
2013,9,0.034
2013,10,0.114
2013,11,0.01
2013,12,0.066
2014,1,0.095
2014,2,0.098
2014,3,0.107
2014,4,0.142
2014,5,0.112
2014,6,0.091
2014,7,0.127
2014,8,0.175
2014,9,0.17
2014,10,0.092
2014,11,0.085
2014,12,0.135
2015,1,0.118
2015,2,0.103
2015,3,0.028
2015,4,0.028
2015,5,0.042
2015,6,0.045
2015,7,0.139
2015,8,0.112
2015,9,0.1
2015,10,0.197
2015,11,0.137
2015,12,0.163
2016,1,0.193
2016,2,0.144
2016,3,0.088
2016,4,0.138
2016,5,0.144
2016,6,0.203
2016,7,0.114
2016,8,0.093
2016,9,0.111
2016,10,0.207
2016,11,0.149
2016,12,0.13
2017,1,0.09
2017,2,0.072
2017,3,0.008
2017,4,0.157
2017,5,0.118
2017,6,0.086
2017,7,0.102
2017,8,0.146
2017,9,0.197
2017,10,0.087
2017,11,0.12
2017,12,0.073
2018,1,-0.01
2018,2,0.042
2018,3,0.238
2018,4,0.068
2018,5,0.043
2018,6,0.109
2018,7,0.141
2018,8,0.098
2018,9,0.196
2018,10,0.1
2018,11,0.178
2018,12,0.195
2019,1,0.149
2019,2,0.168
2019,3,0.192
2019,4,0.143
2019,5,0.153
2019,6,0.166
2019,7,0.192
2019,8,0.17
2019,9,0.149
2019,10,0.196
2019,11,0.221
2019,12,0.141
2020,1,0.114
2020,2,0.135
2020,3,0.115
2020,4,0.207
2020,5,0.139
2020,6,0.171
2020,7,0.182
2020,8,0.157
2020,9,0.183
2020,10,0.15
2020,11,0.113
2020,12,0.123
2021,1,0.217
2021,2,0.22
2021,3,0.147
2021,4,0.162
2021,5,0.074
2021,6,0.092
2021,7,0.143
2021,8,0.136
2021,9,0.11
2021,10,0.142
2021,11,0.192
2021,12,0.16
2022,1,0.242
2022,2,0.113
2022,3,0.085
2022,4,0.148
2022,5,0.225
2022,6,0.186
2022,7,0.149
2022,8,0.109
2022,9,0.173
2022,10,0.168
2022,11,0.152
2022,12,0.197
2023,1,0.158
2023,2,0.139
2023,3,0.26
