Year,Species,Bottom,Pounds,Value,Dealers,Trips,Participants,Vessels,Leases,CONF
2010,Oyster,Private,54112.96,249286.57,46,1689,116,112,102,
2010,Oyster,Public,986293.94,4795840.30,169,22923,1148,973,,
2011,Clams,Private,28751.75,220392.81,42,1297,81,71,92,
2011,Clams,Public,266714.72,1676234.12,89,16300,536,392,,
2011,Oyster,Private,62015.89,339382.77,51,1774,118,113,99,
2011,Oyster,Public,738527.27,4147358.42,170,20868,1086,907,,
2012,Clams,Private,41688.58,296865.19,39,1368,92,74,95,
2012,Clams,Public,354740.16,1794201.51,91,15425,458,370,,
2012,Oyster,Private,47347.21,261613.60,48,1415,125,110,95,
2012,Oyster,Public,392715.53,2310459.09,168,15120,922,724,,
2013,Bay Scallop,Private,***,***,1,1,1,1,1,*
2013,Bay Scallop,Public,***,***,9,40,22,21,,
2013,Clams,Private,29705.24,216293.70,38,1259,83,87,97,
2013,Clams,Public,317367.57,2079071.86,94,15241,491,386,,
2013,Oyster,Private,77421.76,314516.83,54,1564,119,116,109,
2013,Oyster,Public,509202.79,3038609.38,167,17013,864,703,,
2014,Clams,Private,33048.86,223065.66,38,1275,76,71,89,
2014,Clams,Public,397766.89,2643029.87,91,18372,581,451,,
2014,Oyster,Private,112390.66,452085.58,48,1569,107,102,103,
2014,Oyster,Public,615384.52,4092150.90,160,18951,930,761,,
2015,Clams,Private,27311.01,299958.25,31,980,76,69,75,
2015,Clams,Public,387716.16,4739014.30,89,20413,627,440,,
2015,Oyster,Private,163410.47,517342.27,46,1396,110,100,96,
2015,Oyster,Public,485033.83,3419229.64,148,15748,822,659,,
2016,Clams,Private,22602.30,206494.48,31,859,63,64,67,
2016,Clams,Public,308612.39,2371625.15,71,19612,599,405,,
2016,Oyster,Private,305673.41,1123516.35,48,2107,112,107,96,
2016,Oyster,Public,362749.15,2967638.63,143,14295,804,632,,
2017,Clams,Private,20841.85,206503.61,27,850,57,46,59,
2017,Clams,Public,252438.48,1967986.93,70,18189,544,389,,
2017,Oyster,Private,462395.83,2472044.80,57,2521,122,119,130,
2017,Oyster,Public,390452.15,3162848.26,147,14985,759,597,,
2018,Clams,Private,16915.00,160779.99,20,629,42,41,49,
2018,Clams,Public,183039.96,1467884.47,62,12211,452,354,,
2018,Oyster,Private,405156.60,2028815.83,64,2568,128,125,139,
2018,Oyster,Public,220121.21,1806057.82,133,9880,567,465,,
2019,Bay Scallop,Private,***,***,1,2,1,1,1,*
2019,Clams,Private,11836.68,146594.13,17,505,26,26,39,
2019,Clams,Public,106312.07,970251.05,47,8149,311,258,,
2019,Oyster,Private,596949.91,2914145.41,77,3529,141,140,172,
2019,Oyster,Public,235758.46,1975316.62,128,11190,525,443,,
2020,Bay Scallop,Private,***,***,1,7,2,1,1,*
2020,Clams,Private,4900.53,102933.29,19,361,34,25,32,
2020,Clams,Public,66151.06,799040.38,45,5438,292,229,,
2020,Oyster,Private,595923.52,2597827.84,76,3399,141,149,161,
2020,Oyster,Public,233182.02,1955818.93,126,9830,499,446,,
2021,Clams,Private,11927.61,174186.47,20,537,41,37,59,
2021,Clams,Public,69347.54,731235.21,45,5139,268,225,,
2021,Oyster,Private,960648.53,4574900.36,83,4607,150,158,189,
2021,Oyster,Public,266751.42,2330068.44,117,10330,491,452,,
