Year,Annual Average Flow (m3/s)
1974,338.3250546
1975,510.097538
1976,265.5530408
1977,222.4731652
1978,475.0421079
1979,553.6420507
1980,285.9467378
1981,115.635812
1982,312.2006359
1983,377.8506088
1984,403.0065399
1985,296.4012154
1986,171.3818426
1987,464.7531643
1988,183.1577404
1989,431.7832191
1990,390.9636544
1991,282.0678591
1992,279.0835773
1993,411.4132936
1994,326.662099
1995,286.7762329
1996,498.0499478
1997,321.6878289
1998,419.3629138
1999,255.2925988
2000,255.1138219
2001,171.371997
2002,149.3253092
2003,667.0754451
2004,385.7564033
2005,261.6390013
2006,273.0049395
2007,210.2988551
2008,169.3931022
2009,318.4066478
2010,333.2632689
2011,206.2970506
2012,170.0043545
2013,310.5085715
2014,301.4156902
2015,311.3018987
2016,392.7280519
2017,255.832238
2018,464.6136478
2019,410.8575082
