"","year","mean_salinity"
"1",1975,NA
"2",1976,NA
"3",1977,NA
"4",1978,NA
"5",1979,NA
"6",1980,NA
"7",1981,14.0185185185185
"8",1982,10.1269841269841
"9",1983,8.05555555555556
"10",1984,7.16453373015873
"11",1985,18.25
"12",1986,11.2534722222222
"13",1987,12.469696969697
"14",1988,9.69375
"15",1989,9.63090277777778
"16",1990,15.4126602564103
"17",1991,10.2878787878788
"18",1992,10.2859375
"19",1993,11.9427083333333
"20",1994,12.6254807692308
"21",1995,9.4875
"22",1996,6.47316919191919
"23",1997,16.0994212962963
"24",1998,9.74331591265881
"25",1999,14.1466295278795
"26",2000,12.9444131562882
"27",2001,16.3064067944251
"28",2002,16.2625
"29",2003,5.92013548474946
"30",2004,7.2400462962963
"31",2005,8.67888888888889
"32",2006,7.00219907407407
"33",2007,13.6662037037037
"34",2008,15.0536921296296
"35",2009,9.45729166666667
"36",2010,12.7282407407407
"37",2011,12.0077730119826
"38",2012,13.5637731481481
"39",2013,12.1658101851852
"40",2014,9.85715277777778
"41",2015,7.00391203703704
"42",2016,7.98143518518518
"43",2017,9.62717547457913
"44",2018,2.87979166666667
"45",2019,10.6957638888889
"46",2020,6.99
