Year,Secchi depth (m)
2000,1.5
2001,1.55
2002,1.875
2003,1.75
2004,2
2005,1.5
2006,1.7
2007,1.8
2008,2.05
2009,1.5
2010,1.5
2011,1.4
2012,1.45
2013,1.5
2014,1.45
2015,1.3
2016,1.3
2017,1.5
2018,1.2
2019,1.35
2020,1.5
2021,1.6
2022,1.4
