year,season,n_tsw,buoy
2019,winter,0,oregon
2020,fall,0,oregon
2020,spring,0,oregon
2020,summer,0,oregon
2020,winter,0,oregon
2021,fall,0,oregon
2021,spring,0,oregon
2021,summer,0,oregon
2021,winter,0,oregon
2022,fall,0,oregon
2022,spring,0,oregon
2022,summer,0,oregon
2022,winter,0,oregon
2023,spring,0,oregon
2023,summer,0,oregon
2023,winter,0,oregon
2005,fall,0,wrightsville
2005,spring,0,wrightsville
2005,winter,0,wrightsville
2006,fall,0,wrightsville
2006,spring,0,wrightsville
2006,summer,0,wrightsville
2006,winter,0,wrightsville
2007,fall,0,wrightsville
2007,spring,0,wrightsville
2007,summer,0,wrightsville
2007,winter,0,wrightsville
2008,fall,0,wrightsville
2008,spring,0,wrightsville
2008,summer,0,wrightsville
2008,winter,0,wrightsville
2009,fall,0,wrightsville
2009,spring,0,wrightsville
2009,summer,0,wrightsville
2009,winter,0,wrightsville
2010,fall,0,wrightsville
2010,spring,0,wrightsville
2010,summer,0,wrightsville
2010,winter,0,wrightsville
2011,fall,0,wrightsville
2011,spring,0,wrightsville
2011,summer,0,wrightsville
2011,winter,0,wrightsville
2012,fall,0,wrightsville
2012,spring,0,wrightsville
2012,summer,0,wrightsville
2012,winter,0,wrightsville
2013,fall,0,wrightsville
2013,spring,0,wrightsville
2013,summer,0,wrightsville
2013,winter,0,wrightsville
2014,fall,0,wrightsville
2014,spring,0,wrightsville
2014,summer,0,wrightsville
2014,winter,0,wrightsville
2015,fall,0,wrightsville
2015,spring,0,wrightsville
2015,summer,0,wrightsville
2015,winter,0,wrightsville
2016,fall,0,wrightsville
2016,spring,0,wrightsville
2016,summer,0,wrightsville
2016,winter,0,wrightsville
2017,fall,0,wrightsville
2017,spring,0,wrightsville
2017,summer,0,wrightsville
2017,winter,0,wrightsville
2018,fall,0,wrightsville
2018,spring,0,wrightsville
2018,winter,0,wrightsville
2019,fall,0,wrightsville
2019,spring,0,wrightsville
2019,summer,0,wrightsville
2019,winter,0,wrightsville
2020,fall,0,wrightsville
2020,spring,0,wrightsville
2020,summer,0,wrightsville
2020,winter,0,wrightsville
2021,fall,0,wrightsville
2021,spring,0,wrightsville
2021,summer,0,wrightsville
2021,winter,0,wrightsville
2022,fall,0,wrightsville
2022,spring,0,wrightsville
2022,summer,0,wrightsville
2022,winter,0,wrightsville
2023,spring,0,wrightsville
2023,summer,0,wrightsville
2023,winter,0,wrightsville
