"","year","mean_dissolvedoxygen"
"1",1975,6.38958333333333
"2",1976,6.34074675324675
"3",1977,11.95
"4",1978,7.4
"5",1979,6.8
"6",1980,7.12916666666667
"7",1981,8.84166666666667
"8",1982,7.47916666666667
"9",1983,6.85277777777778
"10",1984,7.95013888888889
"11",1985,8.18333333333333
"12",1986,7.70805555555556
"13",1987,8.44382284382284
"14",1988,8.00132575757576
"15",1989,7.36770833333333
"16",1990,7.553125
"17",1991,7.77403409090909
"18",1992,7.8078125
"19",1993,7.54409722222222
"20",1994,6.73548951048951
"21",1995,7.54375
"22",1996,7.58577967171717
"23",1997,7.65790369352869
"24",1998,8.21532471674451
"25",1999,8.28802500583567
"26",2000,7.65870726495726
"27",2001,7.76958599496709
"28",2002,7.16717135465297
"29",2003,7.37791734749455
"30",2004,7.5703431372549
"31",2005,7.38764467592593
"32",2006,6.9494212962963
"33",2007,7.71481481481481
"34",2008,7.04633169934641
"35",2009,7.09186410675381
"36",2010,7.73457244008715
"37",2011,7.47136574074074
"38",2012,7.21898148148148
"39",2013,7.13238698257081
"40",2014,7.57532679738562
"41",2015,6.90219907407407
"42",2016,7.00541666666667
"43",2017,6.79656144056902
"44",2018,6.80080357142857
"45",2019,8.27690972222222
"46",2020,9.48666666666667
