Year,Annual Average TN Load (kg N/d)
1974,16948.98585
1975,21732.51791
1976,11647.08255
1977,13149.76369
1978,19533.41798
1979,23407.27049
1980,13997.49734
1981,7917.39056
1982,19135.23036
1983,20578.84494
1984,23996.57706
1985,12931.79364
1986,7735.552376
1987,17291.78734
1988,9298.106489
1989,26458.6567
1990,15647.77018
1991,12399.53644
1992,15396.57971
1993,15765.22133
1994,11244.28297
1995,16827.91171
1996,20451.05262
1997,11528.63763
1998,16744.06708
1999,21489.2193
2000,13075.62395
2001,9046.895676
2002,10092.99017
2003,22954.93566
2004,13356.18347
2005,10987.2765
2006,15610.64889
2007,8507.254682
2008,9739.53713
2009,13079.84342
2010,14649.14397
2011,7767.168653
2012,9063.436055
2013,16350.79801
2014,23816.96776
2015,21797.57698
2016,25250.97328
2017,12486.81999
2018,22342.32775
2019,17310.09389
